,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.15374863545635026,0.17088262166378576,0.2319862542472935,0.41948839209497146,0.4386298428598506,0.6043680604756694,0.34040898869383573,0.507428066538486,0.5894528835901716,0.4409758934322736,0.4332516371710081,0.4768601536066989,0.4598105412799044,0.6267514551303147,0.6359637556424127,0.27393960995089417,0.25922462765817855,0.3131764957598028,0.2851575057966175,0.21290577379383785,0.21356111867229732,0.2133038195567205,0.21270329153480477,0.21211368703745265,0.21265936891402643,0.21225106888385026,0.4319594266628278,0.4020703486694779,0.42857682456290414,0.5229021966053523,0.4777766431064711,0.5255544824209706,0.4221963505423238,0.42632113320866366,0.43640091282359506,0.4209031579239385,0.4381055553112473,0.4206529892512044,0.4206338663850255,0.43925419114153474,0.43396956661503683,0.4307680609988983,0.4181337318203161,0.4234312229196285,0.44335630771277523,0.4443733076897515,0.45240798540252397,0.4435345608152963,0.47692485130938533,0.564532232507278,0.4765761406295865,0.4561858782422161,0.5653990840864586,0.5654126365188403,0.566142255173596,0.5657455673753876,0.4508537828310216,0.44236606622412344,0.44021795019585785,0.540981485381723,0.63113881781634,0.4973894841031523,0.41850571725808183,0.46367180416335196,0.4539380400107473,0.47484396068352275,0.45916372536217837,0.47725746383809176,0.4760182503587065,0.522084964019641,0.014744829380000175,0.1755862767822547,0.1691822824622085,0.23298945986129943,0.6057583163647885,0.341063942048148,0.587706824488451,0.4786924200410321,0.6260064641507717,0.27244935627057926,0.25906403234164943,0.3151330893390838,0.28331409338874924,0.21393054987117707,0.2135215955012062,0.21327292194712388,0.21624993154380226,0.21521427011154026,0.20868144057485022,0.21771259709618568,0.40387927437794485,0.5228236156754807,0.5240171344094594,0.4244726235341064,0.427334749191947,0.43552900025331276,0.42099994272339125,0.4369500973532411,0.4211156521983896,0.4183406210411082,0.43703380818521476,0.4366930995933639,0.4316130352777134,0.41780610840549837,0.4239251062448054,0.44326725111464954,0.44448100680685954,0.4436058181369282,0.47327400148935317,0.5654646783426692,0.5648080588430696,0.5667796823466815,0.5657570965516006,0.5646350107735807,0.44866156696535753,0.4442057863874665,0.44005051203227386,0.4971856729689743,0.4178281901451719,0.46454372876042793,0.45247933182978683,0.47502007920886935,0.4611364094065452,0.47605442337819137,0.47635393805905735,0.5208365251307726
lapgyn4_surgical_actions,0.16434931168424183,0.0,0.09691389087940298,0.1297977540386879,0.46877641667785863,0.4886713564862609,0.6533285635562415,0.36767206337003977,0.5402064967291784,0.6170906418543509,0.4525743697771749,0.44072317258841476,0.491223997052751,0.4804168060135933,0.6317205639449863,0.6458643543491792,0.327676147442324,0.321910343746319,0.3412065553912147,0.30182598213325407,0.19014083977454216,0.1910121101877415,0.1892667494363789,0.18989137401029882,0.18858931949022528,0.18982658143431191,0.18856602098359293,0.47288022646244654,0.3839995587271373,0.4786409030424071,0.5682135351880804,0.5433431600036638,0.5425390628822993,0.4374389456462082,0.43854616033382066,0.44549243902884245,0.435374537921509,0.4471768470916344,0.434916560006662,0.4348356083908646,0.44952595607668505,0.444200167190704,0.44130031309405576,0.43163095836384685,0.43792039695985713,0.4508137662660696,0.46712099394009554,0.497503579153922,0.4634012183689489,0.5412961448686794,0.595902683652771,0.47573075929478337,0.46393345634467364,0.5966958212082367,0.5963161914140909,0.5969521980552439,0.5966568534723168,0.45991999192774774,0.46182039637201483,0.4617425664052597,0.5621356842800296,0.6597134603633874,0.4739918173410267,0.4181192408288412,0.46621628152944256,0.43706908906103736,0.45401566798989473,0.44568321441446457,0.46203061483542307,0.49549790512991143,0.5476062237726834,0.16684495677209912,0.062459388309535194,0.0925494525544527,0.1304522274064424,0.6544406689531739,0.3680158233048484,0.6152382702985757,0.4932605918031528,0.6307619080715219,0.3278653745058684,0.32093340081850696,0.34232752154940205,0.30141347483571695,0.19219981192534408,0.19038400621013166,0.1890977870538641,0.19235182131319634,0.185956128664731,0.1872564457526218,0.19576199745423092,0.3830249173110075,0.5678126673369639,0.5414817647178226,0.43810932060866675,0.43834659624829564,0.44419258090937436,0.43449777560112696,0.4472311881706892,0.4353143481073788,0.4334172721927475,0.4474348289263601,0.4452723545207836,0.44288198962354963,0.4310910223474899,0.43743004686989606,0.4504834108530309,0.46581366804154034,0.4641347574351834,0.5371673917299596,0.5966437872454353,0.5957218016719925,0.5978400576490401,0.5968719100927325,0.5961381315547813,0.45796584902911974,0.4631007737843352,0.46182518759695573,0.47397177381644395,0.4162378434019043,0.4649637968231466,0.4360301143374581,0.45490474381295637,0.4484188236959305,0.46189169299761856,0.4956347992777286,0.5458093997410454
lapgyn4_instrument_count,0.17559423322285744,0.0919172031096973,0.0,0.10779916936653511,0.4407052486730201,0.47094483150399624,0.6302297275162871,0.36624182935450716,0.5140480808134501,0.5946984728904939,0.4276729140023108,0.41658054570923747,0.4713620191557686,0.4618626101717287,0.6041142003346565,0.6160155067787034,0.3132797733300482,0.30770904476851113,0.34426140889487533,0.32044417079694776,0.16780277875050914,0.16963962841267358,0.16735726142494622,0.16770185992399023,0.16685173549421706,0.16800191050593985,0.16644376078009226,0.45387586943935354,0.40050369390143775,0.47695203126331304,0.5451307889280387,0.5103231756866629,0.5246612967075033,0.4399637035525915,0.44374786998492305,0.4519486173067785,0.4373318042947618,0.45421969817518965,0.43774133700206974,0.4373240542128536,0.4559820394295996,0.4493652128612858,0.4458669730140794,0.43347712271628847,0.44232210732337285,0.45780596136065155,0.4589232418492519,0.4794086220984439,0.4558880972724985,0.5220657115056975,0.5663263526672186,0.4792242838602877,0.46292447755271504,0.5669708431934006,0.5664129500365672,0.5671930686119522,0.5669426590633286,0.446933610796173,0.4538568395474572,0.45399891395098824,0.5534104337702458,0.6332657096054838,0.46324671435521725,0.41718769214428225,0.44811733130902043,0.43992409755389184,0.4399985429414581,0.43446267171047703,0.44880732037886256,0.48707213782582304,0.5222877160831843,0.17755627139459498,0.09863211186745639,0.015838059298302093,0.11181981989324141,0.6312194120390056,0.3663721438047468,0.5929330717885355,0.47346610479163614,0.6030859323117159,0.31359634283811033,0.30587633971848294,0.3454660963308094,0.3197853456539193,0.1701966625639806,0.16853222558880454,0.16875983965844069,0.17064194946033445,0.16466529205160235,0.16430577067666946,0.17225332919928865,0.40117570732630076,0.5449822611142915,0.5234986526621153,0.44198406605778134,0.44331607958511576,0.45035819292301327,0.4373249197529457,0.45398615779995954,0.4381288437539407,0.43574903855973224,0.4536815120534469,0.45145033343200636,0.4475035519069136,0.43229299192572357,0.4425515159830421,0.4573941024693461,0.45801053992653146,0.45645459350437567,0.5179627857802565,0.566968831481589,0.565919893432077,0.5679827847030147,0.5672470525137445,0.5666290397231515,0.445273288946881,0.4544229325638066,0.45395260475014426,0.4634366651841075,0.4156053468533283,0.447118893454202,0.4387159421018466,0.440387725694217,0.4364417776775499,0.44825809282181567,0.48718858514532815,0.5207182094257012
lapgyn4_anatomical_actions,0.25951814105453963,0.13436943742232468,0.11825739959683551,0.0,0.5208642536921708,0.5502853331534592,0.7011855757665113,0.4365699898118567,0.583110963070622,0.6642730909988608,0.4978564113328662,0.4877148698771417,0.5446258422191603,0.5383831604675867,0.6660479759225482,0.6801044021820567,0.4059193625196985,0.39874663429544394,0.41626331291119884,0.3882565313840169,0.2481902904860755,0.24914588986474545,0.2467868177456861,0.24788343559875864,0.2466709706119386,0.24796410773790745,0.246387767443668,0.5272583625281099,0.43459573168839927,0.5576800999086451,0.6288713427906496,0.5919651293329474,0.5884726133123752,0.49937809766062186,0.503197364754312,0.5089291959827879,0.49841092592931685,0.5109179903220462,0.49749829735541223,0.4990246372289251,0.513539973231115,0.5062110711023182,0.5043866238734049,0.495000722376471,0.5018460862186866,0.5127389745745592,0.5223361404381448,0.5452938449925813,0.5185592930065961,0.5997924373955719,0.6321999843429849,0.5169983020899886,0.5246492807097731,0.63305191723986,0.632488979316891,0.6329201504440427,0.6327301456341423,0.509689036581745,0.52298915345824,0.5240341250711966,0.6233207722080835,0.6903196874580861,0.5106072634010288,0.47832190808506003,0.5118318731036717,0.47757330071189463,0.48696546627127035,0.47997873964043924,0.4995581776620137,0.5384840546203403,0.5843989255395324,0.26154147884413453,0.14187128568286633,0.11615339754067851,0.01792962259741194,0.7022276118719776,0.43682640594565497,0.6627909930508951,0.5468989511312705,0.6644750559792015,0.406751891758651,0.39782926191116663,0.4175431038319746,0.3881578350360553,0.2509407760126463,0.24942108667945656,0.24786210594146138,0.2489780172443627,0.24148801384954507,0.2456629498468672,0.2523661648715093,0.43351765581658286,0.62871363116907,0.5876645516394143,0.5004749701908285,0.5018266833099299,0.5073407606168406,0.4973182071211448,0.5116936713634654,0.49806025974925355,0.49768017557102795,0.5114285581042938,0.5068663227715311,0.5058313030658863,0.4944069757477691,0.5011682706449565,0.512123314797112,0.5209939602815821,0.5190077661994426,0.5961329211355177,0.6326368830341282,0.632093958183477,0.6340344410038778,0.6328781828374911,0.6321362194554572,0.5076655056550922,0.5237952705527819,0.5238801416520394,0.5108216995484622,0.4765261372399289,0.5101422979224074,0.4766361539466071,0.48781534813060135,0.48255716740504795,0.49977316218254675,0.5387434816255579,0.5829891430413285
sklin2_skin_lesions,0.39452301226153397,0.4187958281207188,0.41456828761575315,0.4641458676651181,0.0,0.46354146137467844,0.5528951192035216,0.40283123752573624,0.4959828232409972,0.5436332916961277,0.4298124549429595,0.42346311255729,0.4545373985800706,0.4323493782755704,0.5605425823851375,0.5643374394389882,0.3153251419561422,0.32757289406452056,0.40697166620201897,0.39947918168250285,0.38380545759678886,0.38451423239335003,0.3855731240916823,0.38424901207589685,0.3842302486972511,0.38429459309883085,0.38404559410314926,0.23141530072978472,0.44434863276130954,0.38482295141634293,0.482910882507361,0.33334412419006965,0.4883415446547218,0.4402428414616958,0.45135623314183426,0.4608113253491252,0.436396063388913,0.46480589487098334,0.43863368371391964,0.4363574257845578,0.4658588595390918,0.45848114086244757,0.4524419057677881,0.42719578670373703,0.45210753581360247,0.4683129842322057,0.4804758905913423,0.2285132906286956,0.4821754547829725,0.29515490300427794,0.4400265004932108,0.5088211390759606,0.43945038426479854,0.44090356780709217,0.44104545505190484,0.44154879353488413,0.44151851917925183,0.36114313545872756,0.34349068108649694,0.34460191286369674,0.4839099578727589,0.5376888654987304,0.5133521020587123,0.43747445000537155,0.481229409681714,0.4907361425536154,0.49414192808303925,0.503161806947291,0.4818635651212934,0.44235385700525814,0.4067828785473504,0.3938016139296111,0.4205134744303582,0.41799860073022665,0.4649790743751929,0.5540493665723585,0.4019239520209799,0.5407121733118752,0.4541230471644147,0.5606054520442625,0.3164952236197519,0.32449091684574727,0.40698235678537886,0.4005020467529804,0.38185067435935743,0.38595927585605816,0.3864820492862489,0.38655729740236605,0.3882200706091733,0.3828841138018985,0.38234152954481654,0.4488273785316932,0.4821507513569965,0.4862005715875434,0.4443787632753605,0.45284941250917937,0.4596157217563225,0.4359649328789563,0.4625927823321667,0.43910241172391967,0.4332867161334223,0.4633972214788262,0.46100555519201636,0.45380261372304637,0.42539624742106796,0.45493579461845934,0.46826997797057934,0.48155768152413475,0.4820807320224279,0.29325603396569744,0.44128994423110657,0.440185016260418,0.44224720934510664,0.4407312618034105,0.44073042286502423,0.35822850131516154,0.3425618520273154,0.345676574927102,0.5141169137099404,0.43603647866008804,0.4818100249395167,0.48904144431031915,0.49345784151071065,0.5038797335798403,0.47960713033286906,0.4416827803506672,0.4049561844299051
identify_nbi_infframes,0.39977593306079195,0.420175125741496,0.406848530403685,0.44528239563901323,0.36560912905084,0.0,0.36447967933646575,0.44020527218924344,0.3919825614227569,0.35647198146232184,0.3521428816706115,0.34602189367287306,0.37310552484633225,0.33985717785048997,0.4457643736710402,0.4519378511203883,0.3513866646790726,0.3600755973746742,0.41722360892881427,0.43206790920278804,0.3954427976181345,0.3975141150079421,0.39696080877462747,0.395505672434314,0.3968713702076082,0.3963420711817306,0.3975169136602218,0.3378856364747493,0.4009952057128498,0.3400985873899769,0.3761100480622298,0.3887202071563683,0.46367980250537044,0.44762338077460645,0.4432545886053768,0.4435871996122862,0.4480816206678931,0.44253733381491783,0.4463339060862903,0.4460689202377556,0.44318789783715995,0.4489199486429866,0.443060632173798,0.44648190950368716,0.43910202894286227,0.44358074065365805,0.4318764287418611,0.3279202260893736,0.44166170291601925,0.33708298509216084,0.46014371464931786,0.5134741723177458,0.4335764633310536,0.46069752622692783,0.4610509530965502,0.4612642862522644,0.46138557987339734,0.43597441742893245,0.43037925031968904,0.43043124159127616,0.36339180287865513,0.5290344963705963,0.4510591244108828,0.43293913610404755,0.4223130824522303,0.48889544233256277,0.42805520511829864,0.4401560267910256,0.4357788666921519,0.4261508724842011,0.45668503131893706,0.3996070925790666,0.41069216058934466,0.4097848613697494,0.4462274807905464,0.36478683996966743,0.4383055017463844,0.35677301422948166,0.3720478046766939,0.44519113451778114,0.3501087791295622,0.3548641114885017,0.4191472504832211,0.4322600097377231,0.39398044191563,0.39495781443916167,0.39893923206787346,0.4003382439404094,0.4005588767788224,0.39620315905604586,0.3925378051315836,0.40618768021653484,0.3768472832618156,0.4629346251180433,0.44935592974308525,0.4447354148544561,0.4429806876449789,0.4521942423079782,0.4384481251459763,0.44522597066780667,0.44250864875965273,0.44275736688674733,0.4488325171885654,0.4430188761430901,0.4479316313269422,0.442699026970896,0.4455532253323945,0.434910401382117,0.4412656383635107,0.33562549347921444,0.46061952543928086,0.46071438306707746,0.46150105174184763,0.46090585226723174,0.4604904863577055,0.43579859977057966,0.4306693468119087,0.4290311941192408,0.45135159324926505,0.43078137183650056,0.4232246738628539,0.48738869893597947,0.4280073106865636,0.4394901765097995,0.4350436464833587,0.426479557012053,0.4564301545258864
laryngeal_tissues,0.6009611209323563,0.61262338526422,0.6103956926638909,0.6381425994268656,0.5307097062141146,0.45779639731178556,0.0,0.5964153074812573,0.5227666547183807,0.3823377110440729,0.4927802608028456,0.5036275955712752,0.4387401262623872,0.4185867483203057,0.5204566416060915,0.522057054880345,0.5810808995158664,0.578601097380375,0.5907240413176932,0.6179536856974346,0.6154608519539994,0.6167530693217615,0.6166096846483915,0.6155732670503844,0.6163465825338017,0.6159266783983218,0.6170246575208468,0.5001896583163983,0.5630381708952734,0.5460635657848962,0.5295144427055519,0.5474315164649116,0.6177666850736264,0.6340562573553079,0.6385820119682523,0.6358713535061221,0.6355055890508181,0.6368707877859547,0.6351290191955724,0.6365081065177174,0.6358529084080671,0.6354930708213457,0.634503555873549,0.6333349602955936,0.6280201958643069,0.6341560763732579,0.6362415098968588,0.5306336392278131,0.6460737110874363,0.47036945180818257,0.6093749076245893,0.6908765796707786,0.6334626542470865,0.6096037342723485,0.6093724147143986,0.6090392777138219,0.6100292353903207,0.5957548965079795,0.5879314078235769,0.5887092572583315,0.5241771169961881,0.6509881200294024,0.6280337381356345,0.6114596859178099,0.6214934130738474,0.6407525871910212,0.6252053491373563,0.6190862741288253,0.6175023382694761,0.5845127276090087,0.6211012831239531,0.5998369328531343,0.6313575791063533,0.6116755170424877,0.6383417151479043,0.008172890904811204,0.5952161121863637,0.3844683266370473,0.4377050273365673,0.519786408869537,0.5808545262873347,0.5774938687006238,0.5913343809095726,0.6185084727143786,0.6133608051782055,0.6152091863490508,0.6179777444603863,0.6194131126503852,0.6194143071907656,0.6142686419523691,0.6143763408431578,0.5686488269869384,0.5288992633299915,0.61741829492694,0.6352953987358917,0.6391021856755722,0.6341476107018378,0.6358097853992741,0.6348387665979762,0.634277233592083,0.6346971968182702,0.6364059300266453,0.6356193270532169,0.6338409923233552,0.6346361852634691,0.6289390120301551,0.6357907898177302,0.638761574108963,0.6456256464770279,0.47194415218364283,0.6098304060245685,0.6097151176583551,0.6093473084461041,0.6086313255154007,0.6102561542077242,0.5954798867666071,0.5877912379740672,0.589081260476084,0.6276160074435235,0.610106874659982,0.6218233868036801,0.6406374209652916,0.6253972435668648,0.6207497739386652,0.6177819502417229,0.5854126966384975,0.6202370623903002
nerthus_bowel_cleansing_quality,0.3937629541031677,0.39000149741688306,0.4019884441194773,0.4446914179765341,0.48086642529794865,0.5547478560733946,0.692080663782064,0.0,0.5960590661883053,0.6118398295218107,0.49663889673132444,0.4813113422382323,0.5100666254829056,0.4967033146996093,0.6460766035470475,0.6575423819771276,0.28124824720679403,0.24736507419614334,0.13531414097829408,0.2236087044159345,0.32906692525461356,0.327802774379,0.32808428917773247,0.3292633224128765,0.3286910099342764,0.32819232680547333,0.32913264953966637,0.48782718706138317,0.34302140516492086,0.5179985870609375,0.5982727195238889,0.5946114941972149,0.519105294891893,0.4386629617995145,0.43534087739890304,0.4451110484856618,0.43409663226099093,0.4456747857510518,0.43386327964387505,0.4314795593428337,0.44809690578617734,0.44634395249287995,0.4395142304189198,0.42957246833072293,0.4458329706016694,0.45225294858356185,0.5095774440947205,0.5160425590327771,0.5080988440846333,0.5666308102783222,0.5482187799793503,0.5143873730002351,0.4345490271608329,0.5486584803449346,0.548493294677592,0.5493470420697798,0.5484613463458727,0.35578128804991627,0.3503328744824532,0.3469905899273974,0.5886388067740673,0.6110105203313632,0.4955935884154948,0.4009040123354868,0.45072835016426105,0.45784675541549985,0.4703018346468489,0.45400178398746754,0.4525021847404649,0.570855801999911,0.49693753307742483,0.3938483078890027,0.40156604180548366,0.40178418939322996,0.442575060572297,0.6934119212122212,0.012462581279516237,0.6075737348187256,0.5095294263100898,0.6466419153881446,0.2813389944311694,0.25361587162316634,0.13571864549501583,0.22240478920530526,0.3268418486045024,0.3303338122930438,0.3285108958742941,0.32980021913498503,0.33019235266810487,0.3280577579341683,0.3293062699776973,0.3416257895223426,0.5990407811672903,0.5178718445035813,0.44154162818785486,0.43641985508843434,0.44400259245718454,0.43543823600559717,0.4452724928793366,0.4340690925727221,0.43018033394683464,0.4456240308403921,0.4494169990436323,0.4414583094099039,0.42746360270608247,0.4454849970508227,0.4523205434109152,0.5081340341582008,0.509240072646904,0.5639306023595987,0.549312629212892,0.547960853663644,0.5495301422129697,0.549513211588075,0.5474634282846317,0.35399408739425625,0.352330824751638,0.3457610444041298,0.49695502258791663,0.3985731242739686,0.45052982276154896,0.45731212550433437,0.469958187795751,0.4561677196045053,0.4515330777204781,0.5714887002725169,0.4946624539277391
stanford_dogs_image_categorization,0.4167309535451861,0.4414303001008013,0.4268253927298939,0.45793613858544513,0.40505312772877977,0.42320066970687165,0.49394499941433756,0.4857085002651067,0.0,0.471951243750429,0.24162450319819717,0.24202680414713762,0.3049721137025153,0.3142863401995919,0.5005993935372952,0.5030701844609446,0.4120932125343395,0.42559226825848834,0.4611977827970353,0.4626627165944327,0.4523481199022606,0.4539978852751202,0.4540332427822104,0.45267616068881783,0.452677328853797,0.4533293992347358,0.4534710903271207,0.37871911335331676,0.4775228636736803,0.4096338126188158,0.4664125112692012,0.3879798030136895,0.46838228499415246,0.49352847401504096,0.49117777871944723,0.49257862284828385,0.4943784770021017,0.4921974772746247,0.4924302819684405,0.49255615584919143,0.4926052810815057,0.49539106223450924,0.4913988072421002,0.4938142393182019,0.48903470352476297,0.49363911387636766,0.5019900491289125,0.4029829433443068,0.5106855024559906,0.4222104103835369,0.47628492455290755,0.5461480052446495,0.4666218223152418,0.47648372007982553,0.47726963935394795,0.4770626445184242,0.47770080264787856,0.47819885571154863,0.46571634388955685,0.46592880655832497,0.45745016538019945,0.5409397390028221,0.48354931119955125,0.47085470903106524,0.45114519831644795,0.5104025850841882,0.4465825702051652,0.46310542802292715,0.4613419616898977,0.4133909036338177,0.47948525997561825,0.41431561884475143,0.43493460373624915,0.43016828717380445,0.46061352681669454,0.49422524262169476,0.48438524619304335,0.4701221176964615,0.307880207893512,0.49938795208274367,0.41149291504013136,0.4231094428495799,0.46197812417457496,0.4632266771001536,0.4535062511590253,0.4534353903716687,0.45637089095292493,0.4559215669049471,0.4561857941450027,0.452955337074729,0.45133861850410617,0.48245835011915045,0.46639800743560017,0.4675171673541496,0.49533773191593666,0.4923932445405639,0.4936207146965941,0.4968910332974198,0.4897154729672249,0.4928455599743443,0.4896114084788208,0.49235937964064397,0.4954731591783007,0.4914410019411217,0.4938356570027341,0.4897350061726824,0.495847662059034,0.5043938646214923,0.5104859552998148,0.4208873792088818,0.47685664697972674,0.4769199274137276,0.4770810168086459,0.4764078291107692,0.4769309384733944,0.4770812982944357,0.4664870580897663,0.46496838480966207,0.48368352951301474,0.4684476341547059,0.4520649553243973,0.5086526122580747,0.4461598153680886,0.4636217896391373,0.45964353656499735,0.4134577731286604,0.47971643031898376
svhn,0.5941041322046139,0.5887219428775898,0.5826887630347475,0.6022230248298963,0.5690851552314524,0.48885343900443473,0.4107085649357904,0.5634149353781064,0.5192569623463061,0.0,0.4618297021777081,0.46032773877878064,0.3071479894555825,0.280774595123031,0.39610662951531905,0.3983727756941969,0.5522616610698747,0.5536176561684121,0.5538966913597774,0.569468854464374,0.5717624283630185,0.5733817817055905,0.5725564080141571,0.5719378726966724,0.5724788413120273,0.5719799947711762,0.5739853335947046,0.5609256712332686,0.563422845788172,0.556680356921415,0.5428570831793091,0.6167981081762888,0.5896417393316945,0.5577385959120977,0.5470570957176298,0.5454113209510218,0.5567673419091956,0.5433369208055358,0.5541384928730912,0.5547330834851412,0.5452162870790667,0.5515560673559324,0.5459944030730387,0.5549991353151825,0.5473607914253811,0.5437498217320211,0.5842870063235042,0.5816675378866166,0.5920558925344362,0.5573702109844394,0.634960233636289,0.6301189482016201,0.5915251562324713,0.6350716884672698,0.6352294175907194,0.6353592051869996,0.6350724068952447,0.5693048459970776,0.5592365036605246,0.5599751070246285,0.5457803087065252,0.6715056960915284,0.5389100184128459,0.5370553355922093,0.5387535965978968,0.5608124717916061,0.535266543804216,0.5148233726251074,0.5296069927189543,0.592455087486493,0.6323612051444842,0.5944764305313152,0.5884427913439919,0.5840314719040425,0.6018947556470078,0.4116916604573234,0.5623370946122634,0.015536460197259858,0.30459252626917177,0.3957173516936238,0.5524279432974205,0.5513034397867613,0.5549407308319305,0.570794527591838,0.5705114584912327,0.572312999306221,0.5740827892731581,0.5766293004480088,0.5760332954739582,0.5738353827193947,0.5711552919777918,0.5669699005068962,0.5421994165228025,0.589915937627264,0.5587741687084318,0.5490727509166174,0.5449998815963786,0.5606448916749693,0.5398214969804757,0.5530488435754942,0.5528675079396446,0.5453596908467312,0.5510909186671269,0.5469658599329299,0.5572712081374175,0.5489329458478185,0.5452695231784598,0.5860656712112675,0.5920974772588095,0.5579298721694752,0.6357077263632753,0.6351344018527411,0.6349983697136802,0.6346877058403829,0.6342735509888834,0.5680918310835534,0.5581704791146069,0.5598646649765306,0.5399897885920862,0.5360933743920101,0.5395333197939219,0.5608346132401185,0.5353734780592638,0.5153541405706376,0.5290081036992526,0.5928814208030375,0.6316076891913146
