,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.1478686086245009,0.15502941202385745,0.2124320073005676,0.3349808671580528,0.35124620849752347,0.484119302569129,0.31214388534258564,0.3929034440398499,0.4756257961892594,0.3386302786970707,0.33681222718443926,0.3929998808403593,0.36761571320266784,0.5080355223020556,0.5100302722302933,0.23088402276736655,0.22574366890644942,0.28196313199988565,0.2772852897011559,0.20192842687437962,0.20298603265359472,0.20268302914193365,0.20166084677654864,0.2015480361025021,0.20190398555234,0.20166964226868483,0.34063437288942633,0.34766860874890215,0.35868420093787823,0.4328703877852873,0.38367202575154685,0.4447290462149809,0.3647213163920916,0.36650720967860057,0.3728572593169838,0.36393941288977577,0.373862881419545,0.363169861457991,0.3634174843603574,0.37476127311378044,0.37235396776753493,0.3686830343385951,0.36167403558610645,0.3618221672570728,0.3771318086485407,0.38755237548997823,0.3597826391324723,0.39026510188588326,0.37940345261578945,0.4699805232276746,0.42725539586118955,0.4017883918417551,0.4704411482079885,0.47077006942145794,0.4715164658575652,0.47137760283720753,0.3882163784975813,0.3816985877535366,0.37982266504506956,0.4319203398690838,0.5441544134909712,0.4234277628613291,0.3612261162021544,0.38568148244827943,0.4030042885765731,0.3947450672939157,0.3884504920158635,0.4064429518750763,0.39085419363122265,0.43960983172843593,,0.1617927489523602,0.1546392032563591,0.21373752228219334,0.4854004331091911,0.31254305194085885,0.4748092748964462,0.3945907231072946,0.5065538970585247,0.2291618675534661,0.22454799365855668,0.28384966081573293,0.27557931792912815,0.20349405260212078,0.20190710340876994,0.2034093214435237,0.20605798857730218,0.20426563992070718,0.19855485249267082,0.20518835064377047,0.35084775537010415,0.43330280206018684,0.4431506297215274,0.36626750098479005,0.36840636974884183,0.37210717692534545,0.3658119610392653,0.371847356314543,0.3635183305095018,0.36046075658052606,0.3730344348368049,0.3740437047077486,0.3689170266404267,0.36221935344845346,0.3635211522858498,0.37775335387114106,0.3888781096668722,0.3899439918869271,0.37623730857018933,0.47072932750087526,0.47014444432052566,0.47170774463792564,0.47105605129358874,0.47025025921222086,0.3868979609737966,0.3833632172246249,0.379214122465369,0.4231714521264345,0.3607820818697669,0.3864538656750176,0.40134881189759575,0.3945001439433102,0.3894413257325674,0.40458322145764003,0.3912853597331987,0.43880664398590447
lapgyn4_surgical_actions,0.15017678453090402,0.0,0.08722950434241827,0.11519766635976736,0.3938753684819135,0.41232146669623126,0.5517116274606072,0.33319195317119066,0.43159342004865,0.5162743524389682,0.35719597817502463,0.34806672038628805,0.4077132579928622,0.38980298848315453,0.5383652923002635,0.5476080091981641,0.2741816660109335,0.27657942012500336,0.30391914706761536,0.2834795716567763,0.1757878132836398,0.1768990949966341,0.17516148932777595,0.17534640231062848,0.17448077253527336,0.1758111463178517,0.17464267832436692,0.39146947157586265,0.33386983258394465,0.40377049395872555,0.4894955931668857,0.4600160428971567,0.4781401784272691,0.3748103100675431,0.3743221223270884,0.3791705101448113,0.3731579388758133,0.3804032999371052,0.3724007398080449,0.3723059800432892,0.38250291251703017,0.3791636142189446,0.3759232740461268,0.3703069807934274,0.3722074028947884,0.38321128650444375,0.4105020811169689,0.41309426648042397,0.4099623060111276,0.45305339827757807,0.5224551084936088,0.4241816958667063,0.4096672881669724,0.5230092536234667,0.5229202984954084,0.5235201044085553,0.5235724994276097,0.4021260833795381,0.4034479774290901,0.40326506691817166,0.4706176542945387,0.593044904602922,0.4097072672581539,0.3599302063703884,0.3958135487147794,0.39068665334692076,0.3850447074231931,0.3815173222569546,0.3985925429189537,0.41943734618995404,0.48158443524084815,0.15239635172857993,,0.08402613084173084,0.1148073488538077,0.5529011751965234,0.3333324274640903,0.5145771547387111,0.4097043037705852,0.5368899147965656,0.2737762950186773,0.27520778929213446,0.3050045570537295,0.2829187718139687,0.17831514279787636,0.17603649286009998,0.1756634136147456,0.17871381988067445,0.17222099806739333,0.17335023440977532,0.18059775371844844,0.3341650170334223,0.4895707745145807,0.47692773561848856,0.3753238210873594,0.3747321754840276,0.37810925042100596,0.3735781346703511,0.3796851612913917,0.3729424402426229,0.3705343507198904,0.38074214446606264,0.3798642369297731,0.3771579954805804,0.3707048806420853,0.37237786652471266,0.38343049541988966,0.410454075039022,0.41051560569726975,0.44949275387561977,0.5230629798961075,0.5222760627142476,0.5240375796243529,0.5233121087369316,0.5229135450208797,0.40075134923596983,0.40481414818475575,0.4028986264558935,0.40960826205977513,0.35822409697941815,0.39489401286249226,0.38945067809354506,0.38564044096913414,0.3837145454610648,0.3977283551040552,0.4195831381187901,0.48014388272051634
lapgyn4_instrument_count,0.15598610241479466,0.08596344858513237,0.0,0.09745273080502101,0.3719553108861304,0.3906026939867209,0.5265753182322045,0.3349882946489315,0.40875444908949665,0.4933677902230906,0.34003029340324953,0.33197870292888987,0.3953518492136925,0.37743071761512537,0.5166260777495049,0.5233823895106815,0.2638715725226075,0.2663577478891349,0.3088082572394811,0.3041079229226902,0.156111611731073,0.15794233420613624,0.15579767451277382,0.15575498249463304,0.15534349106474613,0.15647746823900116,0.15516068031318375,0.37361637159564676,0.35271550164044735,0.40744282328534087,0.46787871031941003,0.42911611931021765,0.4625641098482338,0.3832278857710866,0.3848221822805966,0.39040418470434013,0.38138161144160776,0.3919428120072383,0.38116147696414737,0.3810071510343972,0.393531693165416,0.3896802350071452,0.38573168131596614,0.3782669248639109,0.38164091105797504,0.39445659332241834,0.4083689371054836,0.3968761357858637,0.4094500516179531,0.43362163846476603,0.49578264031507613,0.4331404935558786,0.41505270681210915,0.49615833064073533,0.4960610284127158,0.4967436310528748,0.4967781271277121,0.3914227722542829,0.3987229453676613,0.3987768503224127,0.46316739257356904,0.5679886256426478,0.4001705413910538,0.360226306991902,0.37701838520692166,0.3936406014948389,0.3722313783454928,0.37432050727246735,0.38512990841878547,0.41286465396283345,0.4608938186213457,0.15802226282783705,0.08824843174475894,,0.10082391024174,0.527624509009519,0.3349876414377027,0.49185360406966777,0.3971135617609898,0.5149816386409576,0.2633398193447056,0.2642385390467503,0.3105265987659662,0.30309955131187016,0.15897904605603322,0.15649905272120085,0.15780605806547665,0.1591537070413188,0.15357015097107563,0.15269027978986577,0.15959860705222678,0.35455602828268284,0.46815682595206987,0.46101695587884417,0.3847748678462979,0.3852970760647273,0.3892304211937755,0.3827084083183939,0.3906084756934123,0.381504803055284,0.37889703744284353,0.39147819043798093,0.3911795727895613,0.3867624319214449,0.3783800499503781,0.3827026966472956,0.39491963336710467,0.40905797090347495,0.4098341299301334,0.43026408469857264,0.496411403202933,0.4955361832562821,0.4970815440516733,0.4966332825371653,0.49619625745319396,0.39053510055089324,0.39943724057961205,0.3982205219290068,0.40014581978534064,0.35886809709337353,0.3764409020284533,0.3922325212069603,0.3723561368603106,0.375833627301969,0.383895266417849,0.4130921545542835,0.45976670323442076
lapgyn4_anatomical_actions,0.21899684488321564,0.1163893544161777,0.10009568432021956,0.0,0.4286169791658915,0.43765282650775583,0.5681073566704623,0.3867480673227662,0.45179202490479775,0.532571244893373,0.38727196640796513,0.38062490488484046,0.4435224646963274,0.4285171516009645,0.5500055638023467,0.5592680193517632,0.3316740727738933,0.33478114066877174,0.36003213936899137,0.3540365875968784,0.22372562563855045,0.22488848522153854,0.2226435550160335,0.2231143415750894,0.22257916012691503,0.22381029830339,0.22257584059900964,0.42385516033531545,0.37498910851174216,0.45660720986934566,0.521918834733551,0.48238344248876325,0.5032212062678343,0.4220999761154231,0.4228540115327749,0.42564922924408,0.42190025483551263,0.42682185268488315,0.4203191251703411,0.4219062901359502,0.4290702297121175,0.4251174773192481,0.4227006249072549,0.4191368519337699,0.41950165863926436,0.42754673375700175,0.44879654209692216,0.44078049489527293,0.4497035603100409,0.4847975935425064,0.5447355299991096,0.4551833315711918,0.4571098811477442,0.5452669566498524,0.5451096153769367,0.5455354057067447,0.5457525274719008,0.4387445964409341,0.4493461382296947,0.4501234747176672,0.5064367435488768,0.6102033331299739,0.4321787733769408,0.40416520009270285,0.42253375063079474,0.41619474795217304,0.405163074199496,0.40577388899062616,0.42104679335375117,0.44587441256941907,0.5092993773964677,0.22061776561147378,0.11805894663624898,0.09875491893618449,,0.5692700555159715,0.3867120947206202,0.5315328167890049,0.44547935710528463,0.5480275532570756,0.3315436098681722,0.33354696294309616,0.3616425968921872,0.35357545970576887,0.22664875559831743,0.2243981094048258,0.22437595411696656,0.22582048573452204,0.21866472033571266,0.2212868034951576,0.22681475081291966,0.3754697227712023,0.52219141429104,0.5022711071821806,0.4226132339214128,0.42251194256559743,0.4245476500164664,0.42235445098048446,0.426214682412576,0.4207587521244538,0.4198645203478503,0.42717201441015884,0.4252909985442371,0.423457119220093,0.4199899343997283,0.41967685997122234,0.4279263719267935,0.44919024992565537,0.4499250770143276,0.4817570460709262,0.5451485041039216,0.5446942512431889,0.5462025063741953,0.545362657434209,0.5450173241712896,0.4376635753615276,0.45021441606666773,0.44942381317636737,0.432225530996135,0.40257235325806207,0.42158785565618456,0.4150559027408777,0.40563386146880054,0.40773538109822993,0.42053307066916784,0.44615087811250376,0.5084251765647956
sklin2_skin_lesions,0.32712489982105986,0.37981642195755694,0.3641530166136586,0.4122181811448643,0.0,0.3327738737683679,0.4065423958086989,0.36522610465564326,0.37048502420305757,0.41980459830810896,0.33783289888047907,0.34151658742264757,0.38365849832829213,0.35221993967481,0.4523963376761519,0.44767053207701735,0.27148523005577496,0.28246497456324154,0.3626898831740234,0.38316044983298847,0.3555125738404098,0.3567768544946128,0.3574829594247433,0.355817835938993,0.35630728378908383,0.356179640274512,0.3562416909822135,0.1840603938903178,0.39848334223255266,0.3129631262484944,0.384672861224596,0.25146842602810693,0.4118899822533394,0.39867403168581467,0.4028023543244717,0.4082209319157226,0.3965424296013306,0.4094758276381478,0.3971970388101801,0.39602520598414437,0.4107908658461768,0.41004742373429554,0.40319250722027816,0.3895319565227653,0.40178436927994843,0.4118447314691067,0.427772451174686,0.17511493708966147,0.4343841041554542,0.22575279625466316,0.3581399165469049,0.4706596786173164,0.4070363736993754,0.35879761615864525,0.35932774883747076,0.35984523248249606,0.3598869960966545,0.3140723511697078,0.3009962880843193,0.3017053497216153,0.36607373108502717,0.44979398390150693,0.4524556614038837,0.3997150452705728,0.4078678517014126,0.45164224124043256,0.4267481767139751,0.4348279776728776,0.4253496868439763,0.36063465359563524,0.3357972155896736,0.3254795799409297,0.37924891495917634,0.36772086178852104,0.415137579283556,0.4075178553372862,0.3639693462216414,0.4188071120007666,0.38248888892552424,0.45169597305247927,0.27133270781657925,0.27945159380186946,0.36338633733063064,0.38347419284563933,0.35473871793093037,0.35587172870999995,0.35902699810946637,0.35906352277396286,0.3604028773945636,0.354052655306873,0.3541496496128653,0.4042738999829007,0.38450699942047967,0.40985878510519225,0.40224053622208816,0.40525632261536937,0.4079754569241972,0.3991041937237237,0.40554539653690946,0.3973083784263651,0.3919218939641759,0.40927075002102553,0.41131694285729253,0.40356113281794037,0.3897072776876904,0.40554396306300133,0.41321939207327507,0.4304395684918482,0.4337136278786954,0.22395877943837889,0.35912197074883806,0.35840654873418815,0.3601193529313586,0.35915848868714384,0.3589032009412769,0.31262419449666257,0.300301020656888,0.3020990375528563,0.45226533971936556,0.39887923951778387,0.40933157177409885,0.44953217817535973,0.4257883165528027,0.434020114048102,0.4219796970026876,0.3605480505827431,0.3351721850874564
identify_nbi_infframes,0.33873462814290267,0.39511501968547985,0.3750654979137557,0.41124669934752167,0.3119327601881285,0.0,0.26253474969331336,0.41710337050662816,0.32027578738395157,0.29204110327777805,0.3129681768672898,0.320980346601885,0.35687510253399823,0.3179922148421395,0.3636120286098111,0.3579176550376717,0.31877850970417076,0.33198342563894345,0.3965501922143041,0.4239314407321743,0.38688555597049545,0.3887621344794806,0.38843266367735907,0.3864013849705375,0.388192850410522,0.38779655358738935,0.38883567008805786,0.283879696944321,0.3869095732871958,0.2961107959150371,0.3062035409135215,0.2936532303981392,0.39075325134184324,0.41983194519613753,0.41270217170026446,0.4106135706769909,0.4209628079568782,0.40778780109786084,0.4187136447790044,0.419426467638457,0.40861589597081527,0.4176107708529848,0.4111972076075176,0.41919833324312716,0.407615585603652,0.4071701141539322,0.3976122285145219,0.2775946984643002,0.4096933145426396,0.25561929876381956,0.38867154777926005,0.48795144568892335,0.43040659127906344,0.3885572246718895,0.38939320310655035,0.38990671118201586,0.3902025183968404,0.41033506280053905,0.40802114890876495,0.4072374734644912,0.281121139905848,0.45738970757355857,0.43185622641252486,0.41144562023638653,0.3783676141756769,0.4661541416969006,0.40082096679401785,0.4146066479309347,0.4103564093126121,0.35995445112262714,0.3940417081212312,0.33688262275036734,0.3856575888357452,0.3782334097449299,0.4152675905285408,0.26291784943932894,0.4156836761608391,0.29372587125517324,0.3552289336069991,0.3618250281713765,0.31620835044177487,0.3278877077633805,0.39885810185770865,0.42297342104670804,0.38668260574533314,0.3848776958065756,0.3906894419327137,0.39136086540123094,0.3912194891420473,0.3858061523899412,0.384131106127109,0.39295952204720147,0.3073927044012803,0.389702043456821,0.420862368698774,0.41508105683850544,0.41079538987803926,0.42697812406756125,0.4022838768297178,0.41698459591569137,0.4145431063797169,0.40837317758650554,0.4171506195234228,0.41006846168721034,0.42249654345810334,0.4120787596304143,0.40996608445412597,0.40157258532465634,0.40861337201671655,0.25389747561051035,0.38896683808595794,0.38903608462021816,0.3894636888402515,0.3893645108767684,0.38923142197079863,0.4111527687153141,0.40872266624363024,0.40524103461715255,0.43131523420929563,0.41122637227501757,0.3804729598230868,0.4638177084607603,0.40053833724299975,0.41241072726809325,0.4077632056973057,0.3605164096941252,0.39426815689124384
laryngeal_tissues,0.47735809035999754,0.540616182099151,0.5189406911831411,0.54961364591314,0.398072731675326,0.2764986970260511,0.0,0.5424036405673818,0.386190647781692,0.27204549739206885,0.39643840868782276,0.415453922139756,0.40137723995128766,0.37026751170605204,0.36020469520741794,0.3482531665231148,0.4694369942549682,0.4784749964356091,0.5284880165542218,0.5798788707583014,0.5464457723362401,0.5482536669849085,0.5479032531744119,0.5460198947372605,0.5472807276460689,0.547181121312831,0.5480974724548908,0.36515879923287775,0.5155815128274586,0.42900263168430386,0.3727014628035362,0.3474490100123102,0.47221847074698453,0.5579908306319201,0.5551074999924408,0.5499499192188766,0.5603502850335809,0.5474953128549378,0.5585164725110432,0.5604139985644222,0.547575638814956,0.5554857963833246,0.5507299465062077,0.5589016141089564,0.5455962133525049,0.5444465395102949,0.5242154447043482,0.3715214132882126,0.5382054584432763,0.29769248208420135,0.4429709278106444,0.6113659717603728,0.5668374611618682,0.44282038149666847,0.4436488764388146,0.4436706448103493,0.44430523262719307,0.5070401631876167,0.5055319823693245,0.505812794174278,0.3641440211906646,0.48639547436733777,0.5337646109493701,0.5409242514289521,0.49773730685330786,0.5716359653966985,0.5208395609849179,0.5312643447758725,0.52538401309585,0.44860209404794404,0.474939152888774,0.4750210333777264,0.5413468540837107,0.522065412586603,0.5537089647784624,,0.5409652045971189,0.2762219340973466,0.3989214556342735,0.35849142707409665,0.46704118300520964,0.47650034943580727,0.5302448015652688,0.5787958020559294,0.546129587127647,0.5444995870782348,0.5501498452205402,0.5508381184093206,0.5501754927021996,0.544497525104176,0.5440269886176492,0.5226099969001372,0.3737667484493499,0.47179258367799065,0.5587682315419186,0.5576945632442692,0.5495899165603987,0.5653907602801771,0.5424840208981271,0.5568033075993295,0.5558503233028462,0.5482608600518617,0.5547520834218375,0.5488593202426367,0.5624706522809662,0.5495212438737698,0.5479949708735616,0.5285827284158465,0.5364355139292403,0.2988649110732199,0.4431016748606482,0.4436343130562929,0.4431352734534312,0.44304343845240335,0.44367110383617264,0.5084276317878992,0.5055353020593332,0.5045683978403566,0.5329304078881076,0.5409613814120255,0.4996630844077665,0.5699645849680556,0.5206744490058883,0.5293895913870141,0.5232702110114112,0.44967259341703036,0.4760699110617695
nerthus_bowel_cleansing_quality,0.32355110263126735,0.33750808528947174,0.34320496548725987,0.3873558871730782,0.3854969166612522,0.44441652700116313,0.5653115586233884,0.0,0.4720963613824787,0.5012446312767304,0.3903120484336192,0.3789074798417524,0.41619679551299327,0.39510868611428074,0.5405243786780309,0.5461841284012926,0.22864974973123517,0.2066417204733857,0.11484278978678403,0.20375663052839926,0.29087245541990003,0.2900886573333251,0.29038011161483573,0.2909804659477692,0.2907727635187191,0.29045224354955035,0.29123663931083965,0.39728281178616187,0.3010661454183141,0.43257351123235066,0.500805844789252,0.48181464311335137,0.44588777316194617,0.3912232115585549,0.3853467546784207,0.39174533832621916,0.38652755633621916,0.39157724643926695,0.3863968315214017,0.38392807280973845,0.3942614679318951,0.3955241901577419,0.3880562306634295,0.38247893574405023,0.3927951524996228,0.3968027947653411,0.44845098180171666,0.4148820123738339,0.4507005955951368,0.4607434261811192,0.4754238251050322,0.476314102650935,0.37596178240142997,0.4756162703853289,0.47589203555320003,0.476729970723914,0.4759598937020078,0.30596589445323236,0.30107718554272633,0.29811840974060294,0.48123749820711775,0.5436471891284411,0.4328080996270604,0.353917705347949,0.3857979862422303,0.41209789835938637,0.40215963087430673,0.38524632858691954,0.3914469381178213,0.46926373428912793,0.42931408640925484,0.3226738999466327,0.346288423232685,0.34365744412849875,0.3867616030709583,0.5666487815285739,,0.49808509212584184,0.41553844188603273,0.5403981130304785,0.22779892598094775,0.21159765902213054,0.11535276640739087,0.20237993634360713,0.2889677262063902,0.2917494757692352,0.29159392922392424,0.29222775329505224,0.29270280308060426,0.2896064823637193,0.2907081182896951,0.30144307687914806,0.5016327182217248,0.44418703896912587,0.3937462654498599,0.3873990433332278,0.39113014272987445,0.38903725665905475,0.39047660984299803,0.38660025848652424,0.38204949886085826,0.3927470314790476,0.3978355254840052,0.3893862776898115,0.38154820176602505,0.3934696163122229,0.3977042239896639,0.4484752840999534,0.45116485454408706,0.4585394868636782,0.4764563066828024,0.4752479440036682,0.4765730367030281,0.4767272366402187,0.4749402717326664,0.30443799048494724,0.3027968180154813,0.29670872762212447,0.433654613077525,0.35221982198978563,0.3859694287797515,0.4109830899894687,0.4016018417872643,0.3869026423813076,0.3896213937684982,0.46979922419127257,0.4273164377235723
stanford_dogs_image_categorization,0.3702380653892514,0.40511802754781945,0.385851415394101,0.4181627121162886,0.35070449052147323,0.32904398496983006,0.3859931934692834,0.44286421781308816,0.0,0.3758551373282371,0.20155166616020975,0.20866023592065375,0.2665699979149959,0.26099024834281975,0.4106808714086573,0.41126647828334173,0.36383575712124006,0.3800596544110839,0.4203681436085334,0.443302367554951,0.42092344182776786,0.42267780225718055,0.42239928638575364,0.42090465359077184,0.42145742302112377,0.4219571072565169,0.42219586023358924,0.3187269035715453,0.43410227442171667,0.36251927552817687,0.3893878309813371,0.33571407010518506,0.4135241622518017,0.4527176805594941,0.4474562472199426,0.4475255379526708,0.453586665758488,0.44592325580148207,0.45115547073288587,0.4510588374763352,0.447088277908323,0.4524676494249318,0.44715269264234414,0.4523287011996812,0.4437397412916717,0.44711629039461226,0.45899256866778537,0.3412770701737199,0.46911431020679684,0.34537722809728666,0.4321653770915713,0.5130260616036804,0.43108721232087494,0.43237365746622713,0.43308542611517115,0.4331029113922631,0.43361704339425156,0.42409281718103287,0.4163249542600226,0.4166785130944974,0.3730602157535601,0.4956691728555483,0.43224861866566966,0.43092552423154346,0.3955900016659255,0.4681622978244494,0.39595219007726445,0.41231459564302536,0.4114692619790763,0.3706762004433176,0.43181420621948374,0.36834365101187866,0.3985071374740692,0.3890872384725897,0.4216881691254747,0.38651712586617437,0.44173070988695123,0.37507112458115277,0.2691858281763584,0.40919076161815593,0.36257672198495877,0.37746928079177744,0.4218538254452721,0.44313620975931084,0.4221227614327264,0.4211535486450322,0.42572343170386495,0.4250656065868737,0.4247265358741644,0.42041382278316053,0.41898367284905724,0.4397958907057725,0.3901277555835522,0.4129312167794306,0.454381669675862,0.4496604648900155,0.448204888739798,0.4578276589574778,0.44234813721890975,0.4513476313678117,0.44743803620078704,0.44644503574469563,0.45256851715964863,0.4470855469058785,0.4535861610108832,0.4455630553304158,0.4497348655074189,0.4622181196632813,0.4684382507737019,0.34407503156483243,0.4325410139563374,0.4326206270197418,0.4333344056204572,0.43234462682781466,0.43273495948334195,0.4236920049178629,0.4170287567327251,0.4153961997873284,0.43151758372343746,0.429124045566698,0.39678601018349013,0.4658541043718647,0.3952731286904901,0.4115395877702076,0.40898106745967683,0.371063271261361,0.4322307021258611
svhn,0.48161183461287355,0.5164644434450925,0.49755738699390173,0.5240827388784873,0.43163762549736107,0.32702731227301773,0.27995679401719203,0.49745257030646234,0.3915732392622605,0.0,0.36416283736258265,0.37312752973742475,0.2848361485839379,0.25368595708182273,0.28278781580146123,0.27559306862073224,0.4518863619903329,0.4607651387322824,0.48516295710602914,0.5221584779080078,0.5095135401376775,0.511185476906177,0.5105557001627423,0.5091110841297194,0.5102895584474691,0.5102080019757895,0.5113391329891004,0.4103513246128072,0.4830865219982685,0.432162140964335,0.39598979408204493,0.4229241449026109,0.47121568079415743,0.5049611433973473,0.494826341489771,0.49107596895239813,0.5052403160277019,0.4876657606206268,0.5027833053590806,0.5035368542915435,0.4892696618634778,0.49860488906156947,0.49260579622360035,0.5035859059113375,0.49023651878020913,0.4870499756224214,0.4956370404304285,0.41937989811309495,0.5064487698154949,0.3813394615821073,0.4822212058250726,0.5714262812934825,0.5130007017499165,0.4820441909242743,0.48274370549272805,0.4831437350094364,0.48309634847463684,0.4805826252648843,0.47661659761516695,0.4770879636636576,0.40132361044175124,0.527859963563097,0.46443018582273277,0.48354304162009865,0.44515543942676233,0.5064778102575958,0.4558409458617596,0.44891286864864677,0.4594174531266457,0.4632174747727241,0.4974056539610584,0.4806263960113448,0.513380979752413,0.49989873795517364,0.5269253509428564,0.28054389688952575,0.4961571614522882,,0.2813982150856503,0.2817957431617648,0.45001539518305117,0.45878803652175537,0.4866778922075379,0.5220654511524063,0.5092337956515905,0.5082031854011007,0.5129200791556432,0.5137209016515507,0.5131760006034973,0.5090689415084202,0.5075121174966746,0.4887347262716475,0.3964160013320287,0.47078756702347974,0.5059856680062436,0.4972719295961514,0.4906532771180093,0.5107367245258729,0.48280796682603655,0.5015511870810664,0.4998036578668519,0.4898533402824919,0.4981558620760529,0.49221840834874603,0.5072458957867282,0.4934430795468236,0.4896416855279596,0.4988741505603733,0.5052659926154931,0.38140715533132835,0.4826983439852194,0.48256431700742924,0.48224210849388727,0.48246501988130763,0.48211263697756557,0.48089072307292713,0.47614356165463745,0.47578755260484695,0.46444101978257346,0.4834138027182805,0.4467509756230751,0.50524161928078,0.4561043498582171,0.44745985316319403,0.4574436888231238,0.46397888004342447,0.4977790650006586
