,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.16434927776003652,0.1755941806037413,0.2595180818929059,0.3945229589930337,0.39977582205256446,0.6009609413929491,0.39376285509118397,0.41673092690847713,0.5941039977324891,0.3270098500491532,0.32992960627155876,0.4473201733779748,0.4145736825931176,0.5964287707490501,0.6116145853607811,0.2590936501185367,0.25825767847344216,0.33477648609734106,0.32602811054618064,0.23315763802564118,0.23501115580445808,0.23401160390784295,0.2330268680934647,0.23240490524036522,0.23312994065142267,0.23292090055068454,0.3934799751533954,0.4258456737519364,0.42847494844685985,0.515268064062123,0.46546259200711726,0.58752079146458,0.46160643901978315,0.4625796324060649,0.4744540630542566,0.45957992630865285,0.4762252862035886,0.4574834673367544,0.4574907167652089,0.47854387466017184,0.4744173443550558,0.4668442730596697,0.45524619585778026,0.4572057826577819,0.4828608511493654,0.5362150721302468,0.4252954744302563,0.5406469713837733,0.4405277581755408,0.6336544855074056,0.5752803277312234,0.5140440739100745,0.6347889452889247,0.6349308869675292,0.636565105493892,0.6365527171913452,0.495110470218624,0.490441921923923,0.48952423275445855,0.5471879888911607,0.7701555712541844,0.5591157286711264,0.4638066837295469,0.5086091982946556,0.5269072027350807,0.5039908772936059,0.4928799525528946,0.5218552263553183,0.5027970382141519,0.5925759510794597,,0.1810342864325809,0.17530681008640117,0.26336027327503353,0.6014603487750089,0.3937523653727826,0.5926587569477226,0.44960753181890395,0.5928590138757154,0.25642053840907864,0.2565720383974577,0.3372949264682602,0.32397359267618325,0.23527116108640628,0.23308760713289306,0.23510673986356995,0.23942005263960883,0.23628446702739342,0.22860276672182164,0.23806730524234368,0.4306782741635168,0.5176041373748186,0.5841964778704166,0.46479177650612313,0.46461002291828035,0.4725513186038423,0.46220747410382107,0.47360143950213646,0.45824466205082026,0.4536390427323851,0.47564919595440036,0.47707356867434486,0.46811230583336816,0.45598724024893467,0.4590726891608753,0.48432122210417344,0.5378772263395866,0.5404511510534569,0.43756291527249114,0.6342497305251511,0.6348392728047336,0.6363676466632017,0.6356117288513166,0.6345373747769638,0.4933169333583718,0.4926198568737937,0.48861851907973025,0.5599708809488357,0.46197920008266086,0.5091388305498962,0.5238911212132096,0.5040468402370568,0.49525938830889826,0.5192195505478622,0.5036442096407331,0.5905353756877255
lapgyn4_surgical_actions,0.15374861285543306,0.0,0.09191717319564827,0.13436942509396035,0.41879578237921217,0.4201750490355015,0.6126232408498999,0.390001428746128,0.44143027023623177,0.5887218151808651,0.3419642140430058,0.34028527067131825,0.4397900664897254,0.41651481404765944,0.5761445966984398,0.6024612680867326,0.29021216817044426,0.2924489166590512,0.337686191340155,0.32264348224618744,0.2000147810451543,0.20181234771744838,0.19951327195849267,0.19993829643101774,0.1986407396796479,0.19985980606737852,0.1987759324716074,0.4072246736846957,0.39426978502818594,0.43826891900689624,0.5229669341517287,0.5049512640016574,0.5810491362633676,0.4527105538621353,0.4494001580431437,0.45794460352887056,0.45036463278197897,0.45925699177393353,0.4480468940301713,0.44769053217995314,0.4624424809990543,0.45966443940883484,0.4522494532037151,0.4453481411866843,0.446825821614212,0.4649499716558311,0.5289141444071712,0.4356326620011392,0.530270452501715,0.4769178288846385,0.6395865759463332,0.5493442929405223,0.5019139992433815,0.6407503970756969,0.6405179832480548,0.6418643134670479,0.6421731537856492,0.47351011199390214,0.4762633472010481,0.47717231666646687,0.5521546022426917,0.7670803110007176,0.5180614520514484,0.43775667997681833,0.48468990812754337,0.4873248314933959,0.46808392074883765,0.4631419145310445,0.4857224246464454,0.5060934540025159,0.5946101793493044,0.1548055547546845,,0.0881311241796605,0.13626176454364086,0.61257329393299,0.3895406543940221,0.586570106099074,0.44202547390885194,0.573211804978386,0.28920119175842196,0.290416405107928,0.33921881077135163,0.32180360527488433,0.2030039677477285,0.1995466482400295,0.20032462741220364,0.20468671653565426,0.19707888509226645,0.19647631634094276,0.20602706080374547,0.39596758597451376,0.5248626163012925,0.5784584820231411,0.45445638400665145,0.44970722529188695,0.45619645126154285,0.4521218944646218,0.45769378779659353,0.4486226574607852,0.44480689814872854,0.4600934611249161,0.46112724646408904,0.45416305317092276,0.4463967943376236,0.44758509761232135,0.4661125531452309,0.529276705047584,0.5305685260737352,0.4737953588992855,0.6397778011520704,0.6404882469258544,0.6419480038215867,0.6410926487229692,0.6406048000309195,0.4719310471292524,0.4780986455528961,0.4762808189501138,0.5188413283562396,0.4348538042346518,0.4830968555939412,0.48475270201978965,0.4687476951773563,0.4659340724854578,0.48419986854970165,0.5064005046308364,0.5923807284386966
lapgyn4_instrument_count,0.17088257703359278,0.09691386334853043,0.0,0.11825737465736934,0.41456821898430934,0.4068484712341711,0.610395615357638,0.4019883612739607,0.4268253701770019,0.5826886542924893,0.3298743155114725,0.32708128592529606,0.4369207262378829,0.41224744025457377,0.5815681255569993,0.6005325764295443,0.2875337576885598,0.28991966396522106,0.3546622162475465,0.3512777397742848,0.17948328563270566,0.18216937136217012,0.17944647605802377,0.17953719715474165,0.17866696096499474,0.1798549592429805,0.1785051508334169,0.4110550223179701,0.4212651592447343,0.46337530172333935,0.5219456131838468,0.49354682213599277,0.5856409980307182,0.47242038284616317,0.4711057371039579,0.4816334393766117,0.4692184592453865,0.48341028273258707,0.4678182357863113,0.46713132891275333,0.486092612597232,0.48226542041821174,0.47390817867143586,0.46357529178008616,0.46792516714475696,0.48938295021495437,0.5430144826324522,0.44001652944399255,0.5454743027814641,0.4806356483832038,0.6317358200415594,0.5745674890505763,0.5193675775238928,0.6326892986413714,0.6323856364156262,0.6339191274499276,0.6342451729914685,0.4720359887801228,0.4793715567441144,0.4801751437792999,0.5694734718051544,0.7616784725215859,0.5208040793756878,0.44392536547959977,0.47045213481554493,0.5040224920114342,0.4592957951996377,0.4611680528534734,0.47529064208142463,0.5153498505126226,0.5859599292886997,0.17159842160023192,0.09965359180945346,,0.12383720537444015,0.6105181651618324,0.40131293740697327,0.5803884818825662,0.439380370291541,0.5782583378581959,0.28641307796410886,0.2872824968995847,0.3566248081173725,0.35003997182061475,0.18311798493974663,0.17945955312921993,0.18156873253261763,0.18491491800398357,0.17742205413904744,0.17566584309228656,0.18422489067800513,0.42505784041032296,0.5242510299262307,0.5826862987538142,0.47533337346736115,0.4714692312853901,0.47955855809422476,0.47182445266297135,0.481188144776829,0.4683217917090359,0.46379392966464195,0.48348096804826657,0.4847597332326955,0.47596587202096363,0.4641172867162247,0.46956848336198453,0.49070449679686,0.5437407971847884,0.5458645845585463,0.4779783781434382,0.6318206261573563,0.6323986572198996,0.633921894334649,0.633200925263736,0.632930723050293,0.4707490326172893,0.4808300365380748,0.47885495374276865,0.5215274597838893,0.4410699642536037,0.46910656032485143,0.5012372006595709,0.4595968862560694,0.46340026928419986,0.4732982380355891,0.5156275873476421,0.5840871639826324
lapgyn4_anatomical_actions,0.23198619851184699,0.12979774209553313,0.10779914066885934,0.0,0.46414580062218724,0.445282292019387,0.6381424393588131,0.4446913438158436,0.45793610461453327,0.6022228729602874,0.3693625102658978,0.3688212525609073,0.46903624893969165,0.4474887727497957,0.5964321954781616,0.619295850880336,0.3488510861800256,0.35042261376886474,0.39622977339058485,0.3938587603121976,0.24926105708356816,0.2510837869935829,0.24847783112869565,0.24905316732278904,0.2480190847563238,0.24927076438116244,0.24797742386567387,0.4510974929476197,0.43417150011614086,0.497589702828859,0.558734884657571,0.543700118646963,0.6127829410613996,0.49934027459582997,0.4965674888327192,0.5036855225038577,0.49804004858159223,0.5049121860198338,0.49519508007380375,0.49606527831058056,0.5081668230283541,0.5047270243450475,0.4980425565423559,0.4932748449288189,0.4929830619500505,0.5088815091420111,0.5680867889056551,0.47430330169549056,0.5703373172977366,0.5280321802117536,0.6753771311763828,0.5847053835736941,0.5539836013525352,0.6764846145491314,0.6763991472416286,0.6774508495410139,0.6779161833253172,0.5088057253776288,0.5201152011823578,0.5216697591276155,0.5948915448757838,0.7967528603450525,0.5453507111713962,0.4763600716796228,0.5089570760226059,0.5169500993002595,0.4845634338386817,0.48207446642794216,0.5043442278023555,0.539355286305838,0.6249280998001866,0.23194669384424108,0.13246656908772,0.10637142930404644,,0.6385557640319725,0.443879935886783,0.5997408816001214,0.4719255955833447,0.5926166531205131,0.34813169047042475,0.34866606708480785,0.3979487956429208,0.3933496608132099,0.2529968401133497,0.249397386038995,0.25028198825717174,0.25316938205221445,0.24496174009012622,0.2459755572069286,0.25358249629378915,0.4361748079045134,0.5610233391061572,0.61049884376718,0.500993113317033,0.4959987760954092,0.5020774849770404,0.49982575565855825,0.5035796497860728,0.49577304060450117,0.49287619802609317,0.50570515937209,0.5057438423093128,0.4996698400398073,0.49480852760673144,0.49360072271308436,0.5100103929467396,0.5684948951061868,0.5704070170593248,0.5259850154412578,0.6754178277159597,0.6764735471089478,0.6777604248570022,0.6767374902131144,0.6761646099056902,0.5073438694531152,0.5217551007497983,0.5200839019857826,0.5465061928817876,0.4734026180361337,0.5071367274822974,0.5145532660060542,0.4849375403166651,0.4846768036868654,0.5031058560263474,0.5397245952313421,0.6232597374516284
sklin2_skin_lesions,0.41948830712524987,0.46877631718201956,0.4407051291747009,0.5208641318971042,0.0,0.3656090381255774,0.530709607618277,0.48086635725343835,0.4050531166076113,0.5690850291269164,0.3406151066976649,0.34012998448494963,0.4635661388174556,0.41671741786710625,0.6154433461359791,0.6060279208355899,0.32618345476048616,0.34170996883923305,0.4564463559449892,0.4714612269061125,0.4223231936583297,0.424542232151472,0.4244944310154447,0.4230002252265141,0.4233641774269259,0.42385217443299683,0.4234949684103921,0.2128997624752764,0.5072915289565643,0.4003249261087587,0.49666587891731323,0.3151755459974304,0.5727125387308719,0.5391451389122046,0.5412157903452411,0.5511963119518057,0.5347237036419162,0.5525983205106679,0.534066413343439,0.531309369653743,0.5568310273086872,0.555916358791605,0.5423187699699439,0.521839868000566,0.5415265085032448,0.5584430969484369,0.6269898982338192,0.2072773439347647,0.6354383665480509,0.26516908549694806,0.49812114636361676,0.6754989170148397,0.5463116528063953,0.4999762658735727,0.49984470421293015,0.501140331096973,0.50141128552634,0.4409590958648242,0.4231555457554469,0.4245134860985591,0.5149653659598216,0.6625317261989168,0.5947644972015416,0.5139241613419838,0.5313131946587498,0.6084919547704815,0.5436442121071511,0.5421541431319818,0.537890051006979,0.49379431209132835,0.46506904979227265,0.41696539769033847,0.46497235032097,0.448050927096395,0.526643677456104,0.5312550972935925,0.47901635668147197,0.5676740934833725,0.4641923271736247,0.6132746173705615,0.3263266424738174,0.336415052346401,0.45743955170639555,0.4718766192289191,0.4212174996491391,0.42328957626756225,0.42812207097108507,0.42758088506327685,0.42931779262894626,0.4206840374485564,0.42011948468055815,0.5166106887625385,0.49800485780241566,0.5693988817111961,0.5450377151588279,0.5451177339471669,0.549103152954108,0.5382419526195579,0.5473522756839138,0.5346800911688427,0.5261633065123926,0.5541806270623626,0.5583014150634282,0.5449749155706314,0.5221806988540197,0.5460171931692477,0.560585869246881,0.6297899456988958,0.6355867154710195,0.26469751048627577,0.4987546622797936,0.4992512104695037,0.5022586425617507,0.4999776006912964,0.49946268338552263,0.4388189524229366,0.4223032633121848,0.42526424476403085,0.5950089591591867,0.5107719984117667,0.5337472554099472,0.6058097177294932,0.5427121002456005,0.5416353533387768,0.5334162958021402,0.4940324939838149,0.4633229779114577
identify_nbi_infframes,0.43862972780565473,0.48867124176653487,0.47094472000837817,0.5502851892054887,0.46354136235143895,0.0,0.45779630805552607,0.5547477226442903,0.42320060122791686,0.4888533283723102,0.3482792236159671,0.34990994126884634,0.4620342332564311,0.40350803704620825,0.5951495526703127,0.5952563119998326,0.4007967046372308,0.41368073233636127,0.5098499495399269,0.509978666563227,0.4653701347509539,0.46794452098963146,0.46718962856911406,0.46551638476286006,0.46663767294037056,0.46705984374822695,0.467896484098994,0.40832541595347693,0.5341840325818888,0.44236905414516653,0.493704458346796,0.4791541698137539,0.6500727286964036,0.5816837411624778,0.5690715668595967,0.5754639402816634,0.5800121689162976,0.5728662683904735,0.5755909334446014,0.5747049824606452,0.5772898178209034,0.5856129746459253,0.57165168081495,0.5736736996255372,0.568849950398989,0.5789366771038836,0.6517612335271301,0.4368422305490218,0.6639563025192134,0.4007796019852464,0.6797547036841597,0.7345317432696918,0.6257821865099078,0.6805196936590927,0.6814836412325076,0.6825656469292309,0.6828797695155258,0.6130131882597813,0.6031022429397439,0.6023448545762198,0.46882091888533756,0.8294440389439248,0.6498871290697297,0.5573853307066563,0.5626563784320777,0.6679015458112585,0.5842080859712007,0.5801806254389954,0.5950732727008538,0.5754331705942788,0.6690929165055045,0.4359573714492092,0.47952917854973126,0.4756298979320627,0.5556823521783445,0.457701179815358,0.5528417952652422,0.49015492151945816,0.4622459458731113,0.590750431900002,0.39774371500809613,0.40724065158607237,0.5128624917971587,0.509481374023259,0.4644280343555871,0.4644307210413602,0.47142444185988674,0.4734384232279266,0.4723626794249964,0.46503621070692214,0.46274366935259936,0.5432208200505884,0.49728964852499885,0.6468220761766063,0.584827727609817,0.5722775633194739,0.5747298898762658,0.5871397699779692,0.5667809836057515,0.5743981336217883,0.5685722946832958,0.5748660527579689,0.5871121515758886,0.573154067153963,0.5767268434149424,0.5727777271207,0.5824249472030829,0.6555075804061021,0.663705706385612,0.3982099506190211,0.6807358353851822,0.6808305411745985,0.6823632356710976,0.6814217184700253,0.6809241340756018,0.6119789269234045,0.6042271363302432,0.6004748859789788,0.6505125225384665,0.5545026449798731,0.5657093866687972,0.6639763156562949,0.5841366873321349,0.5791444988290544,0.5903532532990096,0.5766215192917095,0.6672121773121031
laryngeal_tissues,0.6043678942365573,0.6533283787357783,0.6302295502594664,0.7011853808405566,0.5528950155155385,0.36447960082391706,0.0,0.6920804900800935,0.49394492470576684,0.4107084497848628,0.42520996780595266,0.4374059436793132,0.45412519272171903,0.4043722446048812,0.6070308217518359,0.5921662436965348,0.5707608407016641,0.5774801578290946,0.6535541074371677,0.6807908844033224,0.6473662620743059,0.6500633240400283,0.6489208732968802,0.6475664998221295,0.6481128506109218,0.6489856219039158,0.649525757418288,0.487110440090876,0.6798850329458648,0.6091786154230626,0.63763081035739,0.5648722846472395,0.7816236424485219,0.7397849099279901,0.7345967679475434,0.7377329661823201,0.7410103957653907,0.7362712159070071,0.7363423817695036,0.7376529563587744,0.7391647881588022,0.7445918363816247,0.7331262038842794,0.736111156822741,0.7282132035963811,0.739019699963593,0.7871825768761247,0.5403041452247427,0.8003669277971656,0.45590729534241187,0.787038749343901,0.8824827640415189,0.7918346706069835,0.7879631851782983,0.788335412947212,0.7890747537212093,0.7899776977528767,0.7006879770407878,0.6921923327989743,0.6926248390953867,0.5745885143455693,0.930740345612534,0.7466849543147389,0.7035774444572188,0.7005453239827608,0.7860338215593073,0.7101533719835311,0.7047001005783229,0.705544065407833,0.6882512329271899,0.7878226947054399,0.6011578916735444,0.6629046888176827,0.6357622698868788,0.7060310485663347,,0.690539900245859,0.41574389759437197,0.45378846168964393,0.601672278720611,0.5696522827611296,0.5730417710688788,0.6562597566264499,0.680450178079727,0.6463248237411917,0.646760658339639,0.6536053956474542,0.6552975361144445,0.6535168960694688,0.6454273144511686,0.6443130019505928,0.6896559112505094,0.6406917338909832,0.7786722268324728,0.7438028839256363,0.7380676518374275,0.7362962808827531,0.7464620574832366,0.7308050173845082,0.7354949993963812,0.732018311525646,0.7383229952195849,0.7456790006339495,0.7338396367527632,0.739394140769001,0.7321259535936007,0.7431872767543972,0.790815194732338,0.799362677106775,0.455405704875644,0.7879928269977956,0.7880392493525051,0.7890019849476371,0.788055795745449,0.7888893822381103,0.6996952002110692,0.692813306897679,0.6919720750995744,0.7471227861817873,0.7009459358623067,0.702881973041309,0.7834376767583913,0.7093420414952305,0.7042298680463281,0.7022806542751793,0.6897191121273138,0.7862916147049086
nerthus_bowel_cleansing_quality,0.34040890046856426,0.36767199463695577,0.36624173879007904,0.43656991744415213,0.4028312161739054,0.44020518196681324,0.5964151646896777,0.0,0.4857084440249231,0.5634148479817804,0.3771644527445813,0.3667064991444201,0.45772067239590297,0.42783082034970843,0.5594472949294071,0.5628635344268469,0.23563589866380608,0.2130814968096584,0.12278244512311387,0.22750685457485748,0.30784381761809787,0.30804524999055183,0.30824866901693754,0.3084448844334232,0.3082488042188284,0.3082051387999481,0.3086826139216371,0.412934588878929,0.3359999195504103,0.4572848274343906,0.5197800086085897,0.4996602570871551,0.5064303695128535,0.4614747101348192,0.4562371510779116,0.46739080252612275,0.4550133447647662,0.46867441241068963,0.4550052243109424,0.4515622176880835,0.47127735980609653,0.47052159634776036,0.4596588010482546,0.44718135816183124,0.4626890290791025,0.47557946707197435,0.5459044673343578,0.43773197164728417,0.5506322441902096,0.47242348978144727,0.5316584053132065,0.5832782661957395,0.43486710065054257,0.5323370445066966,0.5330545516982772,0.5339928884118126,0.533016279945451,0.3437252942069449,0.34469692926033857,0.3420988513137784,0.5419269030053337,0.6456888591105381,0.5166981454425776,0.41372242220099387,0.44150233366594627,0.4965366676485639,0.4636473880337648,0.44243225036526124,0.45618364958015867,0.5535800783365495,0.48949180192905695,0.33916957089714705,0.3779679730190054,0.368178613735777,0.4385068743549636,0.5973927313010026,,0.5600053419091812,0.4568226228841581,0.5589295266282381,0.23396688045908112,0.218409275138629,0.12315633446812628,0.22575061227450227,0.306875997801718,0.3089934467973795,0.3106226531167194,0.3111941095867896,0.3117082733810185,0.30672879792093566,0.30806986939710584,0.33849441289257387,0.5221620508326019,0.5030855474057319,0.46561259347707606,0.4579713445617364,0.46544673083945376,0.45852367933354515,0.46617482649498515,0.45528540372945464,0.4489896832588859,0.46878875820856003,0.4742065932779991,0.46206517093465255,0.4468720478515562,0.46365583033484226,0.4771568269888297,0.5463395351366442,0.5513698211733308,0.4701739632322812,0.5324133279949576,0.5322390220325436,0.5338318652288445,0.5337649623376389,0.530971056776699,0.34211224349076486,0.34507781157990614,0.3411324218505357,0.5173403633210316,0.4106821505965037,0.4419215933105953,0.49423775301908535,0.4630673638107605,0.4436594954367945,0.4528839359872856,0.5541264898755318,0.48698695600230624
stanford_dogs_image_categorization,0.5074279698270414,0.5402063906088671,0.5140479654023093,0.5831108483825864,0.49598275736440367,0.3919824595109111,0.5227665265059498,0.5960589343022197,0.0,0.519256851936421,0.24036475361717607,0.2444097588744561,0.3547794943489815,0.33955032235420135,0.5889721010236004,0.6156860439776508,0.46854523055443364,0.48926689034372295,0.553170106300843,0.5753082643559033,0.5373140663221767,0.5399462529952672,0.539107730923968,0.5373856376180232,0.5380084845808355,0.5389080577708156,0.5389826177362763,0.4612287423170887,0.6038189374598456,0.5242753250336021,0.555975260486834,0.5257901953578125,0.6582130392211771,0.6369389774225453,0.6300715853550625,0.635855898093679,0.6361919673377638,0.6351547006652869,0.632588883618254,0.6314894049155737,0.6378303936831253,0.6412083213723243,0.6315046424177411,0.6314811915989655,0.6231077542018646,0.6397131866745696,0.7011724721911354,0.5114382147385437,0.7114855501694956,0.4986298396221147,0.7127712239033996,0.7624652754522827,0.6178571924123037,0.7139321126398734,0.7145885003859169,0.7148847478865984,0.7155454661486959,0.5950640952439918,0.5813055440053352,0.5815848965969825,0.5514508367978985,0.8383640070488328,0.6279113790167017,0.5845721409334588,0.5656891791576979,0.6646959287454313,0.5582334046856072,0.5639152746597164,0.5741365779237482,0.5491957503314652,0.6959400334863854,0.5040343101854439,0.5391678404806735,0.5199066690571181,0.588271601286757,0.52242235424523,0.5947530960274126,0.5183364698554929,0.35860274142112814,0.5864118287120621,0.46653386681051995,0.484858517214299,0.555209886154609,0.5749293031624495,0.5385332964041634,0.5380663417794688,0.5441468398353643,0.5443946350128102,0.5432802230901883,0.5362638024316447,0.5347727716919712,0.6124243284897294,0.557966422060842,0.655929590392619,0.6404981174098072,0.6327838933353935,0.6345243293849749,0.6413363728915032,0.6306122674515279,0.6332066258951223,0.6269005851734583,0.6360644851744484,0.6419577749384051,0.6330791208383622,0.6334944957166033,0.6254520018034104,0.6428171370975836,0.7042771553380804,0.711119536590553,0.49794455938950977,0.7135363276713496,0.7142259146375363,0.7152554845928027,0.7138389991301503,0.7141411794833654,0.5938778554602844,0.5831243204921513,0.5803225281329432,0.6281658288846963,0.5797785665181181,0.5667455070714988,0.6613126921747965,0.5575544294745285,0.5636299525928283,0.5701712935320062,0.5497244448227099,0.6943958837506488
svhn,0.5894527504722155,0.6170904955199246,0.5946983247279592,0.6642729289601568,0.5436331973663004,0.3564719132612675,0.38233763570616675,0.61183972618192,0.4719512045781028,0.0,0.3872395907416733,0.3755722861286508,0.3162964171014679,0.27104993278407363,0.438552660534824,0.41950262678147354,0.5230537425396395,0.5283674784865005,0.5790145247356706,0.6003355054422407,0.5871011650218183,0.5897002843883592,0.5886570466027969,0.5872984632023788,0.5881749102706446,0.588802457051246,0.5894883044965573,0.5026796859591994,0.6003660660497656,0.5529999245255548,0.5807788490007536,0.6071055984393715,0.7110888456321061,0.65548770811655,0.6462945056160541,0.6509523125787954,0.6542183271411588,0.6491857191821405,0.6507510780409109,0.6500794723725626,0.6520699999087698,0.6578748498996164,0.6467007211589458,0.6484770891837852,0.6406670060096571,0.6532337031440744,0.7022224288327618,0.5401220875646742,0.7130502398556573,0.5069213364256517,0.740850278682614,0.7955464626498566,0.672939453300192,0.741432665464338,0.7423608085967356,0.7431035270447893,0.7432245490686302,0.6334232838420041,0.6219358131677306,0.622776325051239,0.5742465730282784,0.8669638876587998,0.6139014450673497,0.5991138317791121,0.5805249126111174,0.6634611752223506,0.582149915878756,0.552750901039961,0.5750152299982897,0.6592232054031875,0.7314781991423095,0.587546467722301,0.6129947907900181,0.5996387029612802,0.6677698924971849,0.3833224191275642,0.6101627572370053,,0.3129166985358341,0.4358622951213573,0.5214136669059385,0.5238570221559887,0.5811046179740721,0.601082459238864,0.5864972752350008,0.5866750005184628,0.5933048341798625,0.5948192946413029,0.5930828428014115,0.5868476354148213,0.5840175923594593,0.6093537658626251,0.5841464965163284,0.708561678469519,0.6593178612468291,0.6490630719482278,0.6487571435016937,0.6597458896253675,0.6430043100398846,0.6498345527457974,0.645226761800195,0.6508867474703559,0.6592319355313325,0.6486075362476035,0.6520963716398473,0.644123781949609,0.6568747668906011,0.705231492623211,0.7121534334555469,0.5065602628022997,0.7415321407042487,0.7417564211988653,0.7424438060610475,0.7417740380787717,0.741666180841623,0.6319013428729768,0.6225178589565641,0.6213200871343968,0.6148518597864951,0.5967003242058707,0.58196592268731,0.6611795096873099,0.5814142792291562,0.5515658455301027,0.5725133194260543,0.660396419579463,0.7299336293335577
