,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0841424954220647,0.08618423610851439,0.11829647016557335,0.18156948852764093,0.19591405391019417,0.2847282314923908,0.17249226672475174,0.19604871156025244,0.2713845244518581,0.16746679249315735,0.16552277811079893,0.20694678428625546,0.19255193428050507,0.2955748562505971,0.2954883514077752,0.12375323000019295,0.12297081830454973,0.1556889086038697,0.15391986956013468,0.11361884556298407,0.11435099153462411,0.1142779667628518,0.11361526632789481,0.11351936438079407,0.11373017575162789,0.11365435777967184,0.18403288634790144,0.1867211612937813,0.1940193178744154,0.24763523184328085,0.2151295213481214,0.24673167565676274,0.19312374434243565,0.19469273737197848,0.19825622058801398,0.1927769569861498,0.19903963803892266,0.19217148156702463,0.1923572310627671,0.19962313477364874,0.19783641598729457,0.19565348856288864,0.19146781539724567,0.19208369506023654,0.20097912281678276,0.21070283150130603,0.19787206962230675,0.21220893244278216,0.2147689622139688,0.26449973729858733,0.23203353109868113,0.21628782051789014,0.2647413481451141,0.26489257066113875,0.2653211768655225,0.2652824011664565,0.2117980943896798,0.2080761326210634,0.20722492162017547,0.23780381514535928,0.31302341956335017,0.22738665615451442,0.1919245576675071,0.20741317039412716,0.21887710769690555,0.2092087275708387,0.2066215384467735,0.21673445922393014,0.21173912582967386,0.2432835133553171,,0.09049069659826381,0.08628526391920756,0.11918751435044837,0.2854849032224949,0.17282398758820777,0.27059007054065093,0.20811242834077334,0.29464224258319593,0.12295977354065668,0.12211623017023952,0.1565907965802517,0.15315897805476572,0.1145208235328205,0.11361639875133517,0.11497064562605999,0.11602308174438443,0.11509738851285471,0.11190737621671101,0.11508548465092232,0.1886596919205885,0.24792823211866566,0.24578332473515851,0.19413251204787227,0.19568111976646513,0.1979101399307553,0.19390149871824514,0.19788587294767007,0.19261786724595914,0.19082304024926375,0.19840609061259729,0.19879882973353852,0.195811751947615,0.19177548344792697,0.19276436637226588,0.20135026828122135,0.21154267969183294,0.21193066330962543,0.21290381157336485,0.26491573906752774,0.26450583954413187,0.265609586526156,0.26509875900635066,0.2648227879111217,0.21109159150282983,0.20903553762899474,0.2067963518477322,0.2274007773786701,0.1916163473892968,0.20769884325920973,0.21802903958490819,0.2089096816620319,0.20711165083541674,0.21582235069109898,0.2120180184643833,0.24267048535785068
lapgyn4_surgical_actions,0.0841424954220647,0.0,0.04641708012298531,0.06200749377853676,0.21578824984377115,0.2320423797327153,0.3249148444336112,0.1800512739054562,0.21961527364333572,0.2939278061896934,0.1785615062760217,0.17151832932518898,0.2118384730005453,0.2024890438200979,0.31340011687839037,0.31808341169972476,0.14375283541453204,0.1470626090208252,0.16365708908824977,0.15272697491567414,0.09466154496896192,0.09545145149927334,0.0943585703254481,0.09446429798325212,0.09403303285148168,0.09484988939890687,0.09415223808333825,0.21426089007495902,0.176031009188913,0.21756144819625478,0.27984044946225006,0.26141053561213184,0.2663387493319094,0.19470353208046837,0.19511891771807885,0.19809071794724045,0.19372293776377683,0.19901060071003385,0.19326608915641594,0.19320553647574848,0.20029064084541204,0.19784772837818912,0.1959599560414835,0.19222541735941437,0.19397129205108007,0.20087341824522464,0.2215404033029188,0.22805465682043746,0.22094401693854346,0.25868602898915394,0.29680473242889094,0.2259394848047522,0.217619931255437,0.29709548880545966,0.2969952295372115,0.29736206542942645,0.29744828957756664,0.21688258362640844,0.21738199645857437,0.2173018884779871,0.2613681396213714,0.34262988171806547,0.21672283592365926,0.18776788406696332,0.21032282270486566,0.20855545705134404,0.20139133648392685,0.1998511724878418,0.2090566998571586,0.22725823499055292,0.2684324932835412,0.08555063103783876,,0.04491541239052878,0.06156909862693273,0.3256775942334592,0.18033072044599607,0.2922124402476187,0.2131503742782373,0.3125352889846647,0.14358033855495944,0.14622830730655367,0.16415959765397337,0.15248058662130765,0.09613483395709749,0.0947943144428557,0.09484527499495375,0.09629466404454665,0.09283527095625237,0.09360601435527591,0.09718630701628456,0.17641319428478203,0.2798813432288494,0.265587247282397,0.19512897538205803,0.19527525781028837,0.19756349799873177,0.194002952347119,0.1986102911110229,0.1938543456842224,0.1924127096310042,0.19902809562609283,0.19825693230435915,0.19668872780903995,0.19249185472199798,0.19377241362294872,0.2009145299352466,0.22153799734263424,0.22125384094346923,0.2566259500297861,0.297155485964968,0.2965712107961493,0.29782124670249166,0.2973059798271963,0.2971992839430106,0.21619922641234007,0.2181552043510056,0.21693967389172064,0.2168629646712541,0.1867334401213946,0.20974628026195785,0.20798915000640697,0.2016026773357661,0.2011419519866724,0.2087888022399792,0.22735757893115624,0.2675139184129633
lapgyn4_instrument_count,0.08618423610851439,0.04641708012298531,0.0,0.05246553026069656,0.20599037930792816,0.21919153527820887,0.3106730841861515,0.18332950378827462,0.20767421302120256,0.2811499398986727,0.17147536121921092,0.16505821460533035,0.207489259293022,0.197095067035184,0.3030021384477054,0.30622120116307083,0.14008045244380196,0.14336032927448755,0.16784646167962738,0.16601481237908988,0.08490409645842517,0.0860648288700029,0.08481738079036799,0.08481227753925424,0.08456234451958936,0.08523809954530391,0.08450450943540236,0.2050926897775851,0.1882711104156804,0.22082632056888604,0.2685640997105958,0.2447364821163575,0.2590883259437313,0.20172352721477949,0.20330549682687113,0.20661447013865242,0.20092286155372152,0.20759247418727605,0.2006008554234394,0.20056290633533277,0.20872047867583554,0.20605220542739022,0.2037478122227512,0.1991293482345472,0.20143551484203653,0.209274776414554,0.22249433760267903,0.22037666287042726,0.22294091360840868,0.24800916630624958,0.28339029807562427,0.23339570458491898,0.2227752381933748,0.2836046059054439,0.283455209526412,0.2838678696969966,0.2839428933771302,0.21221644382040245,0.21622651670742107,0.21623598476674377,0.2577025066825346,0.3298172340965482,0.21274910170075756,0.18974965824466145,0.2007716350015813,0.21128138041326577,0.1957243301806473,0.19738697229968252,0.20277962058600035,0.22506789725944648,0.2589650185626112,0.08755244294781503,0.04664434363815638,,0.05428370380851581,0.311364023665887,0.18356211255661753,0.27968809856351634,0.20865322861736077,0.30196971380751136,0.13981174308245914,0.14211522086889994,0.1688278590122796,0.16558143956798835,0.0865951746614842,0.08509481524765941,0.08621353857208137,0.08655562045773017,0.08374408719944701,0.08309375533900126,0.08663285980374119,0.18937335299938174,0.2687376707223824,0.25807219177759355,0.20266935486515242,0.203567180347547,0.20604748929808173,0.20170200242833075,0.20688183442438024,0.2010482016307882,0.1994570129071178,0.2071769113003534,0.2068353378415807,0.20443830934354956,0.19927462167795873,0.20160755662503405,0.20947818306474913,0.22300029621112577,0.22314081571063893,0.24614894888487432,0.28375519430374085,0.2831367094093828,0.2842727269008534,0.2839087188457029,0.28368417174699373,0.21187705673621376,0.2166630617063401,0.21578762035567742,0.2129169508246764,0.188833211855678,0.20035017458784335,0.21057153252795519,0.19584625509618941,0.19836738942125043,0.20239234809278137,0.2252299543160401,0.2581533454339232
lapgyn4_anatomical_actions,0.11829647016557335,0.06200749377853676,0.05246553026069656,0.0,0.23330276037712405,0.23868269923357882,0.3277639711118402,0.208611537021208,0.225224813369998,0.2965183723572441,0.19252106359120102,0.18668147546783265,0.22851625296337755,0.2199287714242067,0.3153860173940405,0.3201523724565739,0.17373558300862071,0.17786619367665688,0.19289931483685774,0.19023864882544073,0.12077100383276873,0.12151340323745562,0.12025650846774705,0.12041576815110527,0.12023730429655484,0.12090286056169419,0.12028824398742732,0.22918345264754597,0.1983686390003034,0.24198919627394355,0.2929733239228071,0.2693059514803015,0.2770051819706528,0.21905200918407902,0.21993159046542043,0.22170373261427057,0.2192129135876648,0.22256552718935338,0.2180392327681676,0.21902425357382166,0.22391515138780343,0.22123559416851968,0.21980907889181217,0.2176377765886776,0.21792771684153378,0.22313147427303776,0.24028709299356252,0.2405399197084664,0.24082330225963075,0.2720287609866302,0.30722050946852764,0.24186211149043205,0.2423594304024528,0.30752492618809335,0.30735529194042427,0.3076259505319452,0.30785973634644753,0.23583839175092608,0.24093832389116066,0.24147971899501391,0.27621240742268155,0.35000075033143463,0.226447311900785,0.21058969413554748,0.22209831732156632,0.22032936397581954,0.2105785060408451,0.2118728019070615,0.2193756067281561,0.23917931879797463,0.2835173710499165,0.11940238708284662,0.061362544279780745,0.05188122126529584,,0.3285035165408739,0.20872955914795016,0.29541535097414306,0.2296970253879868,0.3141445331766889,0.1737229065484683,0.17717325882973592,0.19373479637969893,0.19000908948518674,0.122287933505928,0.12107259995303087,0.12140807279174232,0.1221143567581898,0.11835019561818251,0.11958933650298653,0.12223510221456582,0.19886976747430604,0.29301882439463556,0.27643793148569334,0.2195039059806009,0.21977147342659437,0.22117393307767952,0.2194648208301766,0.22215990666331542,0.21855381359116505,0.2179040544607734,0.222538417203327,0.22140428476520177,0.2202718106574693,0.2182693249657808,0.21776465418122049,0.22337926089200488,0.24068084966362774,0.24096745162344324,0.27036208358066466,0.30747383094508207,0.30707832420204406,0.30818625126447924,0.30753338772403427,0.3076137885439026,0.23540906817333018,0.24149917381205105,0.24090065765983382,0.22675590891053105,0.20958406082137188,0.2215979246548032,0.2197555475327314,0.21074305942429045,0.21301417203571382,0.21928697154611823,0.23937446876815688,0.28290777123490884
sklin2_skin_lesions,0.18156948852764093,0.21578824984377115,0.20599037930792816,0.23330276037712405,0.0,0.17862643608528517,0.23237963629168967,0.20805164742649992,0.18588383433396233,0.23754215816477403,0.1766673225157736,0.17902639887367514,0.20833075503463525,0.18997326345686194,0.2662388303068525,0.26219201245844875,0.15289805240256385,0.15950843972186884,0.2067221636513068,0.2194028680694506,0.2047052084645404,0.20553052037873693,0.2059480727501901,0.20491615332960916,0.20521957105349867,0.20508465093025924,0.20517222181100642,0.10178761844200535,0.22521682113019637,0.17022246781535888,0.2184777822316331,0.14058955872444662,0.2328641011768485,0.2225985474882674,0.22468222855737852,0.22780298678302624,0.22159163759870207,0.22832702130800614,0.2217924833619029,0.22122604809766444,0.22907999164332515,0.22899586068820377,0.22500797193154867,0.21788015512848374,0.22377284573341039,0.22983967422060217,0.23983411564940743,0.09681518010637165,0.2437752315050859,0.12857218651090013,0.20274732168048154,0.2649083517164317,0.2297882013032519,0.2030773449369204,0.20342106772003088,0.20370105192685012,0.20375174060772477,0.1754807410508326,0.16850827328694007,0.16888094465163206,0.19964175510732096,0.2586944610436503,0.2525007161622705,0.22492296945649054,0.2276297197711319,0.2545653523367504,0.23633158260469994,0.2409780543672039,0.2375573633666863,0.1997142195877165,0.18838961299999601,0.1805569532031826,0.21550931144958002,0.2080558277147323,0.23502952694339935,0.233101953833901,0.20728594057865302,0.2367676357441424,0.20759967251303185,0.26581215235779776,0.15284049460082588,0.1578587410315379,0.20703246558847768,0.2196524740287674,0.2043849628796694,0.2046719706302879,0.2069864032006804,0.206823303406394,0.20747842625395285,0.20375705720706766,0.20379165853712214,0.22841315674007306,0.2183832196340601,0.2317753342437578,0.2247289292082647,0.2261158188206605,0.22783447643717908,0.22342815896991716,0.22600640269266214,0.2218952593073029,0.21895850199922656,0.22813137838052783,0.22960708068295965,0.2252566310989923,0.2181321094650758,0.22564193378984845,0.23080705501087737,0.2414454999695695,0.2432384088911611,0.12743375598073325,0.20327520678969607,0.20280799238721886,0.20392721049082754,0.20335482749370754,0.20324125167197107,0.17474191628237995,0.16818256749269303,0.1690662711408787,0.2524333266781106,0.2243588371150142,0.22839205065697452,0.25346055994210037,0.2358051247489097,0.24026405475803195,0.235514239438115,0.19974794190350087,0.18799669147667247
identify_nbi_infframes,0.19591405391019417,0.2320423797327153,0.21919153527820887,0.23868269923357882,0.17862643608528517,0.0,0.15707441851942833,0.24519645293717776,0.17390330986848512,0.17475152178969972,0.17634441251479263,0.18111790103867575,0.20613265487888138,0.18408084483449028,0.2195679947574956,0.21487854876766255,0.18609087814489628,0.1945196633411293,0.23402202715980053,0.25075014319081235,0.23035633607408118,0.23142285920692812,0.2312803288714556,0.230065788757413,0.2310595905508723,0.23092409313346945,0.2314571072788721,0.16169508413404968,0.22379060505382925,0.16638161888867237,0.17880411294128845,0.16839976673910348,0.22387384333453697,0.24211537182901466,0.2384037110785115,0.2372944428125494,0.24304793079128928,0.2354189746294389,0.24156060366764032,0.24220693694281126,0.2359511713992554,0.24119629370149784,0.2374783061922213,0.2419449941189841,0.2350920358086046,0.23492187361668054,0.22636348387692506,0.15910983459885908,0.23350852497874705,0.1472367719565248,0.22621846317137279,0.28028047285643265,0.24802918440012178,0.2261773815695044,0.22665393328701267,0.2269437850600351,0.22709640521472635,0.23601848075652818,0.23619861951957638,0.23584096093949616,0.15615640939651987,0.26992777265245094,0.2500180886612288,0.2383156205131713,0.21767324154781878,0.26935675935988523,0.230785889766232,0.23931242628645832,0.23539864929031046,0.2035855561869569,0.22530501367283193,0.194634342916484,0.22646696321083068,0.2211489614332607,0.24132817467431905,0.15740383606026048,0.2444032305856296,0.17557224378670758,0.20524666723711563,0.21828606852210095,0.18453722066188416,0.19241267142796709,0.23533793718717966,0.25020338457487423,0.23034195819938325,0.22909502770068746,0.23271190728506808,0.23272113873300973,0.2326907943991152,0.2293865175674566,0.22853891939485488,0.22720953491325208,0.17947120602062067,0.2231744455035509,0.24275787590925443,0.23990038097751765,0.23730944723911293,0.24662319718115014,0.23201289135413783,0.24063481854111138,0.23940221127613343,0.23557952319158104,0.24086970380777326,0.23664569886261894,0.24403124306861748,0.23763926401678542,0.23671621718980834,0.2286121948811365,0.23272373164515484,0.14589936726976888,0.22643916589948748,0.22642289623570905,0.22675561068244418,0.22667281302457454,0.22662093884161297,0.23676691151687268,0.23685017682169315,0.23454406085906587,0.24958324052670916,0.23832313896716018,0.21878651096966978,0.2679899932185483,0.2305654588936875,0.23785878526523102,0.23363120781198915,0.20394860207389692,0.22550131825401282
laryngeal_tissues,0.2847282314923908,0.3249148444336112,0.3106730841861515,0.3277639711118402,0.23237963629168967,0.15707441851942833,0.0,0.32983071586415036,0.21451300267252615,0.1610513302065101,0.22996660427077667,0.2412890184100211,0.24130189967022178,0.2233423246551888,0.21332189473361496,0.20442074569150637,0.28138262220660337,0.2871755001783489,0.32145548484830033,0.3506391274122911,0.33022974274919237,0.331300317928254,0.3311554809150071,0.3300427611346322,0.33066053225837544,0.3306744647275749,0.33116941049330484,0.21295108643022914,0.3106957723882049,0.24816464846509376,0.216789559810042,0.19571346760669753,0.27389744584176035,0.33163835822734566,0.32982682348823344,0.3269363943899105,0.33312466382889294,0.3252668095518081,0.33194554563583717,0.3330867195831234,0.3253815433380245,0.33035269507016385,0.3272838471874442,0.33225347952356793,0.32435235275641994,0.3235039037554567,0.30775327036484934,0.2142049766393207,0.31613219676048443,0.16908944852137564,0.2553454567396856,0.3604030823183376,0.3349884770793622,0.25540267556491264,0.25587778631791536,0.2557436004798215,0.2563022901272037,0.30169102403145354,0.30160242383183844,0.3019246057874453,0.2075379093320671,0.28163383683204574,0.31526220880817996,0.3222338436225802,0.29323679295925653,0.34160117248458943,0.3079169524586024,0.31601397049313307,0.311156475235855,0.2612801686898031,0.2743007196179439,0.28336791989482185,0.32375717203116583,0.3125829030211325,0.3304208177875249,,0.32898745924966255,0.16365340930539174,0.23985165821471266,0.2122899487054813,0.279837562550158,0.2860877985793773,0.32240746607114024,0.35006096503904977,0.330182089362246,0.32920943742512826,0.3325604243428506,0.3326758866048846,0.33230858164831534,0.32908053676434257,0.32869691355950514,0.31493510137241587,0.21765521589694442,0.27375544103895155,0.33210093524344075,0.3314659033252675,0.3267562110420526,0.3364571223786247,0.322149079065833,0.3308947732046227,0.33042074883476336,0.3257372633914148,0.32984164118971515,0.3261271774302199,0.3345592040676946,0.326635722013655,0.3258848188247846,0.31039660340848607,0.314964890053119,0.16978914841155626,0.25545188232326,0.2558923934607199,0.25549029969438564,0.25544292089595233,0.25589847763124574,0.30264776077564004,0.3016934341033303,0.3010437859786378,0.3147635792964366,0.3221628509092888,0.29434898387415187,0.3405010718851439,0.30788810027228086,0.3145381350759828,0.3096814690510226,0.2620161540466077,0.27524610071644057
nerthus_bowel_cleansing_quality,0.17249226672475174,0.1800512739054562,0.18332950378827462,0.208611537021208,0.20805164742649992,0.24519645293717776,0.32983071586415036,0.0,0.23820640833682208,0.2841087585884249,0.19305505958461344,0.18508385681434864,0.21311825356562936,0.20188309039355923,0.3137410329295447,0.3170487346042781,0.12085396489071706,0.10994823280705919,0.060520298213514734,0.1078030953817192,0.1565851183840276,0.1562998446921221,0.15641491141541675,0.15668953912691974,0.1565422822759277,0.1564315664379932,0.1568231826797029,0.2167340986969539,0.1618261926249991,0.23283667078036896,0.28474985114600815,0.2693801986045497,0.24952400506733186,0.2084894358179129,0.20539293749107146,0.20917750148286285,0.20573790386695634,0.2092638047199661,0.2055241349452647,0.20398498372331036,0.21107044564098196,0.21147665104165891,0.20708449414899166,0.20342949295685503,0.2096616578410357,0.2126057759459095,0.2444127056551744,0.22661917155067146,0.24529339606698516,0.2612427783371888,0.2729515164017279,0.2611336324999519,0.19898726839061445,0.27305217041469243,0.2732417655567747,0.2736831321252218,0.27329179070840487,0.16534948114928374,0.16187475207903548,0.16026282489510937,0.2666618060868615,0.31762741181019205,0.23274315727763698,0.18797628360320973,0.20862454606762718,0.22126085488068328,0.21403116804443828,0.20248934166380678,0.20802021077082417,0.25211453199527206,0.2401421375753572,0.17212192426051,0.18463467601002143,0.18375073355657803,0.20842958604911394,0.33070036762550303,,0.28186064624492674,0.21301110267827578,0.313537430681355,0.12025012857209504,0.11235697398552266,0.06070653826491075,0.1071802816703993,0.15547682017100606,0.15716132660649396,0.15727441051119417,0.15724437444264233,0.15768073761976165,0.15596465120899844,0.1563829272525981,0.16211568321135186,0.28516404148234614,0.24870151226170994,0.21009258719973906,0.20653417230385004,0.2090749782259003,0.20710949672262402,0.20876580359696162,0.20600618318959268,0.20314951794719618,0.21006086902830157,0.21277995873701866,0.20794766461707198,0.20283253525889194,0.2095771147690652,0.2130919359104188,0.24454570143082527,0.24558634831178508,0.25990983927732836,0.27352404966032284,0.2727807966599725,0.27379689347697056,0.27377819521191493,0.27277007223965277,0.16451853165698702,0.1627172936130334,0.15942160406954523,0.23338597286841783,0.18703040668369642,0.20853176145931981,0.22064672550820053,0.21363078686871834,0.20362313597066117,0.20721287398804825,0.25242256706026817,0.23877896286730382
stanford_dogs_image_categorization,0.19604871156025244,0.21961527364333572,0.20767421302120256,0.225224813369998,0.18588383433396233,0.17390330986848512,0.21451300267252615,0.23820640833682208,0.0,0.20311754385969016,0.10411079428722465,0.10951664311627407,0.14226049354163328,0.13681016211741986,0.22754552637928244,0.2267471652983306,0.1921993188052907,0.20105156049608702,0.22528394021056147,0.24183376734784645,0.22938836012845393,0.23035659469801406,0.23026392779784582,0.2294035953779539,0.22971958581228544,0.2301053820338001,0.23010449464814586,0.168179189083277,0.23171364424034274,0.19431576815149137,0.21594905307997408,0.18645013472314675,0.22429279507175207,0.2417559258899507,0.23896054404403194,0.2385615378541186,0.24259433914860623,0.23750772411391785,0.24099255004118203,0.2413552319179737,0.23823830929932321,0.24140130811868965,0.23838346114454492,0.24200022021801867,0.23623684000040412,0.23804344098767666,0.2454531916943481,0.1800288320625666,0.25151616971277124,0.18805664900303992,0.23888229453316295,0.276993052162377,0.23062262104493203,0.23902167336211907,0.239379710779236,0.2393617251106107,0.23971131334411688,0.22210300363963614,0.21865655887380064,0.21894835227801965,0.19799582346375336,0.2789494766207178,0.23069151240095248,0.2306712554519028,0.20979397531088328,0.2513654010810592,0.20953530939141662,0.2183526777333774,0.2184973372461664,0.19989180351490593,0.23530249419008098,0.19518169885621545,0.2161194272554456,0.20935097015653328,0.2272066382192085,0.21504533228417463,0.23759385185555776,0.202455755683468,0.14346462200890456,0.2266800790835039,0.19125972555960544,0.19968813700234744,0.22599830725697811,0.24173597462013222,0.2299562571825181,0.22935943105113604,0.2321523545077791,0.231687496335387,0.23150062400021676,0.22888994679564226,0.22801834999725207,0.2348861474255316,0.21631969343943586,0.22420760336041431,0.2427443243917048,0.2402284023738197,0.23884072577467388,0.245299633157056,0.23520630752118538,0.24131107528319418,0.23913575302013163,0.23782995057168804,0.24144742719642498,0.2380854217210734,0.24295929753650844,0.23733380262893344,0.23976998944678718,0.24741934104654434,0.25102670504859653,0.18688144995690592,0.2392052507148172,0.239060193844653,0.23970218177047894,0.23904992074403755,0.23927433709076315,0.22200263718828922,0.21902332236946917,0.2181381784232475,0.23016222785842982,0.229676553408706,0.21040137010720716,0.250141775520782,0.20920884507672172,0.21760604548160042,0.2172010697143653,0.2001527040882377,0.2357268308534186
svhn,0.2713845244518581,0.2939278061896934,0.2811499398986727,0.2965183723572441,0.23754215816477403,0.17475152178969972,0.1610513302065101,0.2841087585884249,0.20311754385969016,0.0,0.19458453173488477,0.19965718911018815,0.16429419289189348,0.1473188243950931,0.16127606001409117,0.15621485887134706,0.25467931446998326,0.2600325962693786,0.2770195340517534,0.2984747655098986,0.29099652152601196,0.29190292269479423,0.29158133617799964,0.29074280299750577,0.29134089133965824,0.2914155891488732,0.2918928341953463,0.2238036976762262,0.2719421301806202,0.23448112358568587,0.2210039437741676,0.22923534596178674,0.2616548240571728,0.28418094825336415,0.27852297062852927,0.2762228189765739,0.284569065134909,0.27406039237126345,0.28303375737865455,0.28351776629382636,0.2750417215951651,0.2806954643139238,0.2771648762057462,0.28371391673212454,0.2753371604190533,0.273782665380963,0.27638198289391025,0.22831020037500246,0.2826066671407207,0.20707806548684773,0.2691321539296548,0.322360040529275,0.2877968858611605,0.2690207775374198,0.26943961701035635,0.2697032580680951,0.2697226077136614,0.27007618409343526,0.26860601887605084,0.269075630238361,0.21703683604744933,0.29875881547722055,0.25888298585312264,0.27309129223792894,0.24714259614080047,0.28675284212957985,0.2535913253352963,0.2519811286417525,0.25619036014783725,0.25452298566087284,0.2769283294586238,0.27088549389364813,0.2916331547623731,0.2825577189259342,0.298425201120325,0.16142145786536005,0.2833118542299383,,0.16238792850938197,0.1606902778946166,0.25342456319455203,0.2589623081052229,0.27784107441465783,0.29827243083996213,0.29084534730480516,0.29022935293582686,0.2930426227807262,0.29319891776721746,0.2928427224250687,0.29054538161915106,0.2896018070587455,0.27547298184881486,0.2212121854655568,0.2614565411193051,0.28486237817327675,0.27997270078204983,0.2758938135663941,0.2879661659384446,0.2712515432412383,0.28237781771677173,0.2813353357116104,0.27533585624609036,0.280389540575649,0.2768246755031315,0.2860587023801653,0.27711852224232847,0.2754696711047683,0.27834695787436536,0.281780335230399,0.20694656317339155,0.2693725317489114,0.2692575379898091,0.26913900931626233,0.2692969893042887,0.26920503669579987,0.27042729518076436,0.2683742908925742,0.2681168859422213,0.25875928636982676,0.2729600762556052,0.2480123105331391,0.28586737816022584,0.2536872103200322,0.25076935627342145,0.25481305459417536,0.25505115509951476,0.2772336371448144
