,r,s,t,p
0,0,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,0.9986684918403625
1,0,lapgyn4_anatomical_structures,lapgyn4_instrument_count,0.9876540303230286
2,0,lapgyn4_anatomical_structures,lapgyn4_anatomical_actions,0.9910473227500916
3,0,lapgyn4_anatomical_structures,sklin2_skin_lesions,0.9430415630340576
4,0,lapgyn4_anatomical_structures,identify_nbi_infframes,0.9998071193695068
5,0,lapgyn4_anatomical_structures,laryngeal_tissues,0.9998852014541626
6,0,lapgyn4_anatomical_structures,nerthus_bowel_cleansing_quality,1.0
7,0,lapgyn4_anatomical_structures,stanford_dogs_image_categorization,0.9951545596122742
8,0,lapgyn4_anatomical_structures,svhn,0.9959456324577332
9,0,lapgyn4_anatomical_structures,caltech101_object_classification,0.997906506061554
10,0,lapgyn4_anatomical_structures,caltech256_object_classification,0.9948834776878357
11,0,lapgyn4_anatomical_structures,cifar10_object_classification,0.9991411566734314
12,0,lapgyn4_anatomical_structures,cifar100_object_classification,0.9957250952720642
13,0,lapgyn4_anatomical_structures,mnist_digit_classification,0.9999324679374695
14,0,lapgyn4_anatomical_structures,emnist_digit_classification,0.9971011281013489
15,0,lapgyn4_anatomical_structures,hyperkvasir_anatomical-landmarks,0.9854028224945068
16,0,lapgyn4_anatomical_structures,hyperkvasir_pathological-findings,0.9331722259521484
17,0,lapgyn4_anatomical_structures,hyperkvasir_quality-of-mucosal-views,0.9951838850975037
18,0,lapgyn4_anatomical_structures,hyperkvasir_therapeutic-interventions,0.9916955232620239
19,0,lapgyn4_anatomical_structures,cholec80_grasper_presence,0.9915509223937988
20,0,lapgyn4_anatomical_structures,cholec80_bipolar_presence,0.9979119300842285
21,0,lapgyn4_anatomical_structures,cholec80_hook_presence,0.9987419247627258
22,0,lapgyn4_anatomical_structures,cholec80_scissors_presence,0.9984148740768433
23,0,lapgyn4_anatomical_structures,cholec80_clipper_presence,0.9991599321365356
24,0,lapgyn4_anatomical_structures,cholec80_irrigator_presence,0.9989314079284668
25,0,lapgyn4_anatomical_structures,cholec80_specimenbag_presence,0.9992802143096924
26,0,lapgyn4_anatomical_structures,derm7pt_skin_lesions,0.884019672870636
27,0,lapgyn4_surgical_actions,lapgyn4_anatomical_structures,0.9980213046073914
28,0,lapgyn4_surgical_actions,lapgyn4_instrument_count,0.9710648059844971
29,0,lapgyn4_surgical_actions,lapgyn4_anatomical_actions,0.9919741153717041
30,0,lapgyn4_surgical_actions,sklin2_skin_lesions,0.8616501092910767
31,0,lapgyn4_surgical_actions,identify_nbi_infframes,0.9980709552764893
32,0,lapgyn4_surgical_actions,laryngeal_tissues,0.9998469352722168
33,0,lapgyn4_surgical_actions,nerthus_bowel_cleansing_quality,1.0
34,0,lapgyn4_surgical_actions,stanford_dogs_image_categorization,0.9950376749038696
35,0,lapgyn4_surgical_actions,svhn,0.5404108166694641
36,0,lapgyn4_surgical_actions,caltech101_object_classification,0.9964740872383118
37,0,lapgyn4_surgical_actions,caltech256_object_classification,0.7414301633834839
38,0,lapgyn4_surgical_actions,cifar10_object_classification,0.9990663528442383
39,0,lapgyn4_surgical_actions,cifar100_object_classification,0.9949902296066284
40,0,lapgyn4_surgical_actions,mnist_digit_classification,0.999913215637207
41,0,lapgyn4_surgical_actions,emnist_digit_classification,0.9970661401748657
42,0,lapgyn4_surgical_actions,hyperkvasir_anatomical-landmarks,0.9325116872787476
43,0,lapgyn4_surgical_actions,hyperkvasir_pathological-findings,0.9022442102432251
44,0,lapgyn4_surgical_actions,hyperkvasir_quality-of-mucosal-views,0.9937982559204102
45,0,lapgyn4_surgical_actions,hyperkvasir_therapeutic-interventions,0.9818710088729858
46,0,lapgyn4_surgical_actions,cholec80_grasper_presence,0.9903450012207031
47,0,lapgyn4_surgical_actions,cholec80_bipolar_presence,0.9974578022956848
48,0,lapgyn4_surgical_actions,cholec80_hook_presence,0.9983780384063721
49,0,lapgyn4_surgical_actions,cholec80_scissors_presence,0.9989414215087891
50,0,lapgyn4_surgical_actions,cholec80_clipper_presence,0.9991835355758667
51,0,lapgyn4_surgical_actions,cholec80_irrigator_presence,0.7325923442840576
52,0,lapgyn4_surgical_actions,cholec80_specimenbag_presence,0.9993433952331543
53,0,lapgyn4_surgical_actions,derm7pt_skin_lesions,0.8156188130378723
54,0,lapgyn4_instrument_count,lapgyn4_anatomical_structures,0.9984411597251892
55,0,lapgyn4_instrument_count,lapgyn4_surgical_actions,0.9986839294433594
56,0,lapgyn4_instrument_count,lapgyn4_anatomical_actions,0.9882566928863525
57,0,lapgyn4_instrument_count,sklin2_skin_lesions,0.8981408476829529
58,0,lapgyn4_instrument_count,identify_nbi_infframes,0.9997427463531494
59,0,lapgyn4_instrument_count,laryngeal_tissues,0.9993495941162109
60,0,lapgyn4_instrument_count,nerthus_bowel_cleansing_quality,1.0
61,0,lapgyn4_instrument_count,stanford_dogs_image_categorization,0.995328426361084
62,0,lapgyn4_instrument_count,svhn,0.9960113763809204
63,0,lapgyn4_instrument_count,caltech101_object_classification,0.9986770749092102
64,0,lapgyn4_instrument_count,caltech256_object_classification,0.9959269165992737
65,0,lapgyn4_instrument_count,cifar10_object_classification,0.9991874098777771
66,0,lapgyn4_instrument_count,cifar100_object_classification,0.9958891868591309
67,0,lapgyn4_instrument_count,mnist_digit_classification,0.999928891658783
68,0,lapgyn4_instrument_count,emnist_digit_classification,0.9972204566001892
69,0,lapgyn4_instrument_count,hyperkvasir_anatomical-landmarks,0.9911947250366211
70,0,lapgyn4_instrument_count,hyperkvasir_pathological-findings,0.9176162481307983
71,0,lapgyn4_instrument_count,hyperkvasir_quality-of-mucosal-views,0.9962303042411804
72,0,lapgyn4_instrument_count,hyperkvasir_therapeutic-interventions,0.9883912801742554
73,0,lapgyn4_instrument_count,derm7pt_skin_lesions,0.8555976748466492
74,0,lapgyn4_anatomical_actions,lapgyn4_anatomical_structures,0.9966800808906555
75,0,lapgyn4_anatomical_actions,lapgyn4_surgical_actions,0.9985426664352417
76,0,lapgyn4_anatomical_actions,lapgyn4_instrument_count,0.9813286066055298
77,0,lapgyn4_anatomical_actions,sklin2_skin_lesions,0.524598240852356
78,0,lapgyn4_anatomical_actions,identify_nbi_infframes,1.0
79,0,lapgyn4_anatomical_actions,laryngeal_tissues,0.9996556043624878
80,0,lapgyn4_anatomical_actions,nerthus_bowel_cleansing_quality,1.0
81,0,lapgyn4_anatomical_actions,stanford_dogs_image_categorization,0.9944079518318176
82,0,lapgyn4_anatomical_actions,svhn,0.9948953986167908
83,0,lapgyn4_anatomical_actions,caltech101_object_classification,0.9976063966751099
84,0,lapgyn4_anatomical_actions,caltech256_object_classification,0.9940946698188782
85,0,lapgyn4_anatomical_actions,cifar10_object_classification,0.9992216229438782
86,0,lapgyn4_anatomical_actions,cifar100_object_classification,0.9947188496589661
87,0,lapgyn4_anatomical_actions,mnist_digit_classification,0.9999364018440247
88,0,lapgyn4_anatomical_actions,emnist_digit_classification,0.9970532655715942
89,0,lapgyn4_anatomical_actions,hyperkvasir_anatomical-landmarks,0.9671749472618103
90,0,lapgyn4_anatomical_actions,hyperkvasir_pathological-findings,0.9251759052276611
91,0,lapgyn4_anatomical_actions,hyperkvasir_quality-of-mucosal-views,0.9978477358818054
92,0,lapgyn4_anatomical_actions,hyperkvasir_therapeutic-interventions,0.9901502728462219
93,0,lapgyn4_anatomical_actions,cholec80_grasper_presence,0.9907286167144775
94,0,lapgyn4_anatomical_actions,cholec80_bipolar_presence,0.997671365737915
95,0,lapgyn4_anatomical_actions,cholec80_hook_presence,0.9982179403305054
96,0,lapgyn4_anatomical_actions,cholec80_scissors_presence,0.9968471527099609
97,0,lapgyn4_anatomical_actions,cholec80_clipper_presence,0.9995577335357666
98,0,lapgyn4_anatomical_actions,cholec80_irrigator_presence,0.9991512298583984
99,0,lapgyn4_anatomical_actions,cholec80_specimenbag_presence,0.9993026256561279
100,0,lapgyn4_anatomical_actions,derm7pt_skin_lesions,0.7694570422172546
101,0,sklin2_skin_lesions,lapgyn4_anatomical_structures,0.9990849494934082
102,0,sklin2_skin_lesions,lapgyn4_surgical_actions,0.9986684918403625
103,0,sklin2_skin_lesions,lapgyn4_instrument_count,0.9876540303230286
104,0,sklin2_skin_lesions,lapgyn4_anatomical_actions,0.9910473227500916
105,0,sklin2_skin_lesions,identify_nbi_infframes,0.9998071193695068
