,r,s,t,p
0,0,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,0.9624113440513611
1,0,lapgyn4_anatomical_structures,lapgyn4_instrument_count,0.9143155217170715
2,0,lapgyn4_anatomical_structures,lapgyn4_anatomical_actions,0.971854567527771
3,0,lapgyn4_anatomical_structures,sklin2_skin_lesions,0.9430415630340576
4,0,lapgyn4_anatomical_structures,identify_nbi_infframes,0.9998071193695068
5,0,lapgyn4_anatomical_structures,laryngeal_tissues,1.0
6,0,lapgyn4_anatomical_structures,nerthus_bowel_cleansing_quality,1.0
7,0,lapgyn4_anatomical_structures,stanford_dogs_image_categorization,0.9951545596122742
8,0,lapgyn4_anatomical_structures,svhn,0.9667307138442993
9,0,lapgyn4_anatomical_structures,caltech101_object_classification,0.997906506061554
10,0,lapgyn4_anatomical_structures,caltech256_object_classification,0.9948834776878357
11,0,lapgyn4_anatomical_structures,cifar10_object_classification,0.9816128015518188
12,0,lapgyn4_anatomical_structures,cifar100_object_classification,0.9957250952720642
13,0,lapgyn4_anatomical_structures,mnist_digit_classification,0.9992474913597107
14,0,lapgyn4_anatomical_structures,emnist_digit_classification,0.9971011281013489
15,0,lapgyn4_anatomical_structures,hyperkvasir_anatomical-landmarks,0.9968632459640503
16,0,lapgyn4_anatomical_structures,hyperkvasir_pathological-findings,0.8912505507469177
17,0,lapgyn4_anatomical_structures,hyperkvasir_quality-of-mucosal-views,0.9939901828765869
18,0,lapgyn4_anatomical_structures,hyperkvasir_therapeutic-interventions,0.9877758026123047
19,0,lapgyn4_anatomical_structures,cholec80_grasper_presence,0.9355607628822327
20,0,lapgyn4_anatomical_structures,cholec80_bipolar_presence,0.934011697769165
21,0,lapgyn4_anatomical_structures,cholec80_hook_presence,0.983327329158783
22,0,lapgyn4_anatomical_structures,cholec80_scissors_presence,0.8882744312286377
23,0,lapgyn4_anatomical_structures,cholec80_clipper_presence,0.8899548053741455
24,0,lapgyn4_anatomical_structures,cholec80_irrigator_presence,0.9075256586074829
25,0,lapgyn4_anatomical_structures,cholec80_specimenbag_presence,0.972413182258606
26,0,lapgyn4_anatomical_structures,derm7pt_skin_lesions,0.884019672870636
27,0,lapgyn4_surgical_actions,lapgyn4_anatomical_structures,0.9918310046195984
