,r,s,t,p
0,0,lapgyn4_surgical_actions,lapgyn4_anatomical_structures,0.9157099723815918
1,0,lapgyn4_instrument_count,lapgyn4_anatomical_structures,0.916170060634613
2,0,lapgyn4_anatomical_actions,lapgyn4_anatomical_structures,0.901553213596344
3,0,sklin2_skin_lesions,lapgyn4_anatomical_structures,0.9157185554504395
4,0,identify_nbi_infframes,lapgyn4_anatomical_structures,0.9140815734863281
5,0,laryngeal_tissues,lapgyn4_anatomical_structures,0.9308905601501465
6,0,nerthus_bowel_cleansing_quality,lapgyn4_anatomical_structures,0.8970567584037781
7,0,stanford_dogs_image_categorization,lapgyn4_anatomical_structures,0.9170936942100525
8,0,svhn,lapgyn4_anatomical_structures,0.9198451638221741
9,0,caltech101_object_classification,lapgyn4_anatomical_structures,0.9349881410598755
10,0,caltech256_object_classification,lapgyn4_anatomical_structures,0.927284836769104
11,0,cifar10_object_classification,lapgyn4_anatomical_structures,0.939959704875946
12,0,cifar100_object_classification,lapgyn4_anatomical_structures,0.9337964653968811
13,0,mnist_digit_classification,lapgyn4_anatomical_structures,0.9226328730583191
14,0,emnist_digit_classification,lapgyn4_anatomical_structures,0.9089794754981995
15,0,hyperkvasir_anatomical-landmarks,lapgyn4_anatomical_structures,0.9361661076545715
16,0,hyperkvasir_pathological-findings,lapgyn4_anatomical_structures,0.9251788258552551
17,0,hyperkvasir_quality-of-mucosal-views,lapgyn4_anatomical_structures,0.9408975839614868
18,0,hyperkvasir_therapeutic-interventions,lapgyn4_anatomical_structures,0.9054535627365112
19,0,cholec80_grasper_presence,lapgyn4_anatomical_structures,0.9347472786903381
20,0,cholec80_bipolar_presence,lapgyn4_anatomical_structures,0.906512975692749
21,0,cholec80_hook_presence,lapgyn4_anatomical_structures,0.927894115447998
22,0,cholec80_scissors_presence,lapgyn4_anatomical_structures,0.9177029728889465
23,0,cholec80_clipper_presence,lapgyn4_anatomical_structures,0.9163855910301208
24,0,cholec80_irrigator_presence,lapgyn4_anatomical_structures,0.9270604252815247
25,0,cholec80_specimenbag_presence,lapgyn4_anatomical_structures,0.9268612265586853
26,0,derm7pt_skin_lesions,lapgyn4_anatomical_structures,0.9105817675590515
27,0,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,0.6998673677444458
28,0,lapgyn4_instrument_count,lapgyn4_surgical_actions,0.6909996271133423
29,0,lapgyn4_anatomical_actions,lapgyn4_surgical_actions,0.6934184432029724
30,0,sklin2_skin_lesions,lapgyn4_surgical_actions,0.7118937969207764
31,0,identify_nbi_infframes,lapgyn4_surgical_actions,0.6978412866592407
32,0,laryngeal_tissues,lapgyn4_surgical_actions,0.7330038547515869
33,0,nerthus_bowel_cleansing_quality,lapgyn4_surgical_actions,0.7236555814743042
34,0,stanford_dogs_image_categorization,lapgyn4_surgical_actions,0.6981409788131714
35,0,svhn,lapgyn4_surgical_actions,0.7393230199813843
36,0,caltech101_object_classification,lapgyn4_surgical_actions,0.7338518500328064
37,0,caltech256_object_classification,lapgyn4_surgical_actions,0.7293809056282043
38,0,cifar10_object_classification,lapgyn4_surgical_actions,0.7105329036712646
39,0,cifar100_object_classification,lapgyn4_surgical_actions,0.6878665089607239
40,0,mnist_digit_classification,lapgyn4_surgical_actions,0.7185785174369812
41,0,emnist_digit_classification,lapgyn4_surgical_actions,0.7043817043304443
42,0,hyperkvasir_anatomical-landmarks,lapgyn4_surgical_actions,0.7117629051208496
43,0,hyperkvasir_pathological-findings,lapgyn4_surgical_actions,0.7385410666465759
44,0,hyperkvasir_quality-of-mucosal-views,lapgyn4_surgical_actions,0.7298290133476257
45,0,hyperkvasir_therapeutic-interventions,lapgyn4_surgical_actions,0.7029683589935303
46,0,cholec80_grasper_presence,lapgyn4_surgical_actions,0.6834936141967773
