,r,s,t,p
0,0,lapgyn4_anatomical_structures,idle_action_recognition,0.9988359212875366
1,0,lapgyn4_surgical_actions,idle_action_recognition,0.9994768500328064
2,0,lapgyn4_instrument_count,idle_action_recognition,0.9996069669723511
3,0,lapgyn4_anatomical_actions,idle_action_recognition,0.9998061656951904
4,0,sklin2_skin_lesions,idle_action_recognition,0.9997061491012573
5,0,identify_nbi_infframes,idle_action_recognition,0.9986609816551208
6,0,laryngeal_tissues,idle_action_recognition,0.9990143775939941
7,0,nerthus_bowel_cleansing_quality,idle_action_recognition,0.9987430572509766
8,0,stanford_dogs_image_categorization,idle_action_recognition,0.998681902885437
9,0,svhn,idle_action_recognition,0.9985896348953247
10,0,caltech101_object_classification,idle_action_recognition,0.9985137581825256
11,0,caltech256_object_classification,idle_action_recognition,0.9987218379974365
12,0,cifar10_object_classification,idle_action_recognition,0.99925696849823
13,0,cifar100_object_classification,idle_action_recognition,0.998991847038269
14,0,mnist_digit_classification,idle_action_recognition,0.999066948890686
15,0,emnist_digit_classification,idle_action_recognition,0.9995824098587036
16,0,hyperkvasir_anatomical-landmarks,idle_action_recognition,0.9991799592971802
17,0,hyperkvasir_pathological-findings,idle_action_recognition,0.9990171194076538
18,0,hyperkvasir_quality-of-mucosal-views,idle_action_recognition,0.9991363883018494
19,0,hyperkvasir_therapeutic-interventions,idle_action_recognition,0.9987604022026062
20,0,cholec80_grasper_presence,idle_action_recognition,0.9995887279510498
21,0,cholec80_bipolar_presence,idle_action_recognition,0.9992790222167969
22,0,cholec80_hook_presence,idle_action_recognition,0.9995588660240173
23,0,cholec80_scissors_presence,idle_action_recognition,0.9994299411773682
24,0,cholec80_clipper_presence,idle_action_recognition,0.9995968341827393
25,0,cholec80_irrigator_presence,idle_action_recognition,0.999223530292511
26,0,cholec80_specimenbag_presence,idle_action_recognition,0.9985216856002808
27,0,derm7pt_skin_lesions,idle_action_recognition,0.9993917942047119
28,0,barretts_esophagus_diagnosis,idle_action_recognition,0.9992474317550659
29,0,brain_tumor_classification,idle_action_recognition,0.9995864629745483
30,0,mednode_melanoma_classification,idle_action_recognition,0.9993542432785034
31,0,brain_tumor_type_classification,idle_action_recognition,0.9983338117599487
32,0,chexpert_enlarged_cardiomediastinum,idle_action_recognition,0.9989921450614929
33,0,chexpert_cardiomegaly,idle_action_recognition,0.9996458292007446
34,0,chexpert_lung_opacity,idle_action_recognition,0.9992749691009521
35,0,chexpert_lung_lesion,idle_action_recognition,0.9993211030960083
36,0,chexpert_edema,idle_action_recognition,0.9986961483955383
37,0,chexpert_consolidation,idle_action_recognition,0.9984278678894043
38,0,chexpert_pneumonia,idle_action_recognition,0.9989475011825562
39,0,chexpert_atelectasis,idle_action_recognition,0.999404788017273
40,0,chexpert_pneumothorax,idle_action_recognition,0.9983972907066345
41,0,chexpert_pleural_effusion,idle_action_recognition,0.9991543292999268
42,0,chexpert_pleural_other,idle_action_recognition,0.9993123412132263
43,0,chexpert_fracture,idle_action_recognition,0.9991540312767029
44,0,chexpert_support_devices,idle_action_recognition,0.9991384148597717
45,0,pneumonia_classification,idle_action_recognition,0.999004065990448
46,0,ph2-melanocytic-lesions-classification,idle_action_recognition,0.9990256428718567
47,0,covid_xray_classification,idle_action_recognition,0.99959397315979
