,r,s,t,p
0,0,lapgyn4_surgical_actions,lapgyn4_anatomical_structures,0.9216871857643127
1,0,lapgyn4_instrument_count,lapgyn4_anatomical_structures,0.9088027477264404
2,0,lapgyn4_anatomical_actions,lapgyn4_anatomical_structures,0.9117735028266907
3,0,sklin2_skin_lesions,lapgyn4_anatomical_structures,0.9211487770080566
4,0,identify_nbi_infframes,lapgyn4_anatomical_structures,0.9039299488067627
5,0,laryngeal_tissues,lapgyn4_anatomical_structures,0.9172626733779907
6,0,nerthus_bowel_cleansing_quality,lapgyn4_anatomical_structures,0.9291593432426453
7,0,stanford_dogs_image_categorization,lapgyn4_anatomical_structures,0.9191340804100037
8,0,svhn,lapgyn4_anatomical_structures,0.8930463790893555
9,0,caltech101_object_classification,lapgyn4_anatomical_structures,0.8831819295883179
10,0,caltech256_object_classification,lapgyn4_anatomical_structures,0.9172991514205933
11,0,cifar10_object_classification,lapgyn4_anatomical_structures,0.9016599059104919
12,0,cifar100_object_classification,lapgyn4_anatomical_structures,0.8887266516685486
13,0,mnist_digit_classification,lapgyn4_anatomical_structures,0.9328731298446655
14,0,emnist_digit_classification,lapgyn4_anatomical_structures,0.9081687927246094
15,0,hyperkvasir_anatomical-landmarks,lapgyn4_anatomical_structures,0.9037588238716125
16,0,hyperkvasir_pathological-findings,lapgyn4_anatomical_structures,0.9010215401649475
17,0,hyperkvasir_quality-of-mucosal-views,lapgyn4_anatomical_structures,0.9085103869438171
18,0,hyperkvasir_therapeutic-interventions,lapgyn4_anatomical_structures,0.9088941812515259
19,0,cholec80_grasper_presence,lapgyn4_anatomical_structures,0.9143984913825989
20,0,cholec80_bipolar_presence,lapgyn4_anatomical_structures,0.923723042011261
21,0,cholec80_hook_presence,lapgyn4_anatomical_structures,0.8949645161628723
22,0,cholec80_scissors_presence,lapgyn4_anatomical_structures,0.9124417304992676
23,0,cholec80_clipper_presence,lapgyn4_anatomical_structures,0.9332091808319092
24,0,cholec80_irrigator_presence,lapgyn4_anatomical_structures,0.9197463989257812
25,0,cholec80_specimenbag_presence,lapgyn4_anatomical_structures,0.9069895148277283
26,0,derm7pt_skin_lesions,lapgyn4_anatomical_structures,0.8832955956459045
27,0,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,0.6990562677383423
28,0,lapgyn4_instrument_count,lapgyn4_surgical_actions,0.6906535625457764
29,0,lapgyn4_anatomical_actions,lapgyn4_surgical_actions,0.6886382699012756
30,0,sklin2_skin_lesions,lapgyn4_surgical_actions,0.6744193434715271
31,0,identify_nbi_infframes,lapgyn4_surgical_actions,0.6986671686172485
32,0,laryngeal_tissues,lapgyn4_surgical_actions,0.6972270607948303
33,0,nerthus_bowel_cleansing_quality,lapgyn4_surgical_actions,0.7105240225791931
34,0,stanford_dogs_image_categorization,lapgyn4_surgical_actions,0.6999390125274658
35,0,svhn,lapgyn4_surgical_actions,0.6790522933006287
36,0,caltech101_object_classification,lapgyn4_surgical_actions,0.6983485817909241
37,0,caltech256_object_classification,lapgyn4_surgical_actions,0.670010507106781
38,0,cifar10_object_classification,lapgyn4_surgical_actions,0.706253170967102
39,0,cifar100_object_classification,lapgyn4_surgical_actions,0.6680468320846558
40,0,mnist_digit_classification,lapgyn4_surgical_actions,0.7029092311859131
41,0,emnist_digit_classification,lapgyn4_surgical_actions,0.7179126739501953
42,0,hyperkvasir_anatomical-landmarks,lapgyn4_surgical_actions,0.6999689340591431
43,0,hyperkvasir_pathological-findings,lapgyn4_surgical_actions,0.6892859935760498
44,0,hyperkvasir_quality-of-mucosal-views,lapgyn4_surgical_actions,0.7013916373252869
45,0,hyperkvasir_therapeutic-interventions,lapgyn4_surgical_actions,0.6745585203170776
46,0,cholec80_grasper_presence,lapgyn4_surgical_actions,0.6977301836013794
47,0,cholec80_bipolar_presence,lapgyn4_surgical_actions,0.708728551864624
48,0,cholec80_hook_presence,lapgyn4_surgical_actions,0.7068511247634888
49,0,cholec80_scissors_presence,lapgyn4_surgical_actions,0.7077280879020691
50,0,cholec80_clipper_presence,lapgyn4_surgical_actions,0.694760799407959
51,0,cholec80_irrigator_presence,lapgyn4_surgical_actions,0.7208529114723206
52,0,cholec80_specimenbag_presence,lapgyn4_surgical_actions,0.6957272291183472
53,0,derm7pt_skin_lesions,lapgyn4_surgical_actions,0.6871008276939392
54,0,lapgyn4_anatomical_structures,lapgyn4_instrument_count,0.7083948850631714
55,0,lapgyn4_surgical_actions,lapgyn4_instrument_count,0.7217267751693726
56,0,lapgyn4_anatomical_actions,lapgyn4_instrument_count,0.6542449593544006
57,0,sklin2_skin_lesions,lapgyn4_instrument_count,0.730537474155426
58,0,identify_nbi_infframes,lapgyn4_instrument_count,0.7472683191299438
59,0,laryngeal_tissues,lapgyn4_instrument_count,0.7437700033187866
60,0,nerthus_bowel_cleansing_quality,lapgyn4_instrument_count,0.7407334446907043
61,0,stanford_dogs_image_categorization,lapgyn4_instrument_count,0.7539951801300049
62,0,svhn,lapgyn4_instrument_count,0.7678111791610718
63,0,caltech101_object_classification,lapgyn4_instrument_count,0.716672420501709
64,0,caltech256_object_classification,lapgyn4_instrument_count,0.7572112083435059
65,0,cifar10_object_classification,lapgyn4_instrument_count,0.7457551956176758
66,0,cifar100_object_classification,lapgyn4_instrument_count,0.749768853187561
67,0,mnist_digit_classification,lapgyn4_instrument_count,0.7486853003501892
