,name,task_types,num_classes,num_samples,domains,imbalance_ratios,datasets,keywords,dimensions,max_resolution,min_resolution
0,aptos19_blindness_detection,classification,5,3662,fundus_photography,9.352331606217616,aptos_blindness,"['eye', 'fundus_photography', 'medical']",7,12212224,169692
1,barretts_esophagus_diagnosis,classification,3,262,confocal laser endomicroscopy,5.733333333333333,barretts_esophagus,"['confocal laser endomicroscopy', 'endoscopy', 'medical', 'tissue_pathology']",11,1048576,1048576
2,bean_plant_disease_classification,classification,3,1167,natural_objects,1.0207792207792208,ibean,['natural_objects'],25,250000,250000
3,brain_tumor_classification,classification,2,3762,mri_scan,1.2352941176470589,brain_tumor,"['brain', 'medical', 'mri_scan', 'tissue_pathology']",8,57600,57600
4,brain_tumor_type_classification,classification,3,3064,mri_scan,2.0141242937853105,brain_tumor_type,"['brain', 'medical', 'mri_scan', 'tissue_pathology']",14,262144,65536
5,breast_cancer_classification_v2,classification,3,780,ultrasound,3.2857142857142856,breast_ultrasound,"['breast', 'medical', 'ultrasound']",14,753512,58900
6,caltech101_object_classification,classification,101,8677,natural_objects,25.806451612903224,caltech101,['natural_objects'],14,349752,7360
7,caltech256_object_classification,classification,257,30607,natural_objects,10.3375,caltech256,['natural_objects'],14,62615569,5625
8,chexpert_atelectasis,classification,2,34704,x_ray,25.132530120481928,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,306850,102400
9,chexpert_cardiomegaly,classification,2,38116,x_ray,2.428931270241094,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,326864,102400
10,chexpert_consolidation,classification,2,42880,x_ray,1.9006291009943854,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,366266,102400
11,chexpert_edema,classification,2,72972,x_ray,2.5207951365434718,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,463524,102400
12,chexpert_enlarged_cardiomediastinum,classification,2,32436,x_ray,2.0038896091868863,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",13,323676,102400
13,chexpert_fracture,classification,2,11552,x_ray,3.5987261146496814,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,364500,102400
14,chexpert_lung_lesion,classification,2,10456,x_ray,7.233070866141732,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",13,228459,102400
15,chexpert_lung_opacity,classification,2,112180,x_ray,15.999545385664495,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,397600,102400
16,chexpert_pleural_effusion,classification,2,121583,x_ray,2.4349361509775114,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,513600,102400
17,chexpert_pleural_other,classification,2,3839,x_ray,11.14873417721519,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,478932,102400
18,chexpert_pneumonia,classification,2,8838,x_ray,2.157556270096463,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,225078,102400
19,chexpert_pneumothorax,classification,2,75789,x_ray,2.8970074043603455,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,460350,102400
20,chexpert_support_devices,classification,2,122138,x_ray,18.901906468958774,chexpert,"['chest', 'medical', 'tissue_pathology', 'x_ray']",15,597060,102400
21,cholec80_bipolar_presence,classification,2,89910,laparoscopy,22.524332810047095,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
22,cholec80_clipper_presence,classification,2,89910,laparoscopy,30.110726643598618,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
23,cholec80_grasper_presence,classification,2,89910,laparoscopy,1.2208225268618007,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
24,cholec80_hook_presence,classification,2,89910,laparoscopy,1.3154180937910431,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
25,cholec80_irrigator_presence,classification,2,89910,laparoscopy,22.389698231009366,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
26,cholec80_scissors_presence,classification,2,89910,laparoscopy,55.158650843222986,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
27,cholec80_specimenbag_presence,classification,2,89910,laparoscopy,15.743016759776536,cholec80,"['endoscopic instruments', 'endoscopy', 'laparoscopy', 'medical']",17,2073600,409920
28,cifar100_object_classification,classification,100,50000,natural_objects,1.0,cifar100,['natural_objects'],13,1024,1024
29,cifar10_object_classification,classification,10,50000,natural_objects,1.0,cifar10,['natural_objects'],14,1024,1024
30,covid_xray_classification,classification,2,3091,x_ray,1.3758647194465796,covid_xray,"['chest', 'medical', 'tissue_pathology', 'x_ray']",14,7765308,48768
31,crawled_covid_ct_classification,classification,2,746,ct_scan,1.1375358166189111,covid_ct_crawled,"['chest', 'ct_scan', 'medical', 'tissue_pathology']",12,2046975,7015
32,deep_drid_artifact,classification,6,1200,fundus_photography,16.18918918918919,deep_drid,"['eye', 'fundus_photography', 'image_artefacts', 'medical']",6,4428288,2746200
33,deep_drid_clarity,classification,5,1200,fundus_photography,14.862068965517242,deep_drid,"['eye', 'fundus_photography', 'image_artefacts', 'medical']",6,4428288,2746200
34,deep_drid_dr_level,classification,5,1200,fundus_photography,7.5,deep_drid,"['eye', 'fundus_photography', 'medical', 'tissue_pathology']",6,4428288,2746200
35,deep_drid_field,classification,5,1200,fundus_photography,114.42857142857143,deep_drid,"['eye', 'fundus_photography', 'medical']",6,4428288,2746200
36,deep_drid_quality,classification,2,1200,fundus_photography,1.0833333333333333,deep_drid,"['eye', 'fundus_photography', 'image_artefacts', 'medical']",6,4428288,2746200
37,derm7pt_skin_lesions,classification,5,616,dermatoscopy,13.692307692307692,derm7pt,"['dermatoscopy', 'medical', 'tissue_pathology']",9,393216,242688
38,emnist_digit_classification,classification,47,112800,handwritings,1.0,emnist,"['chars_or_digits', 'handwritings']",10,784,784
39,eye_condition_classification,classification,4,601,cataract_surgery,3.0,cataract,"['cataract_surgery', 'eye', 'medical']",6,4478976,2261952
40,hyperkvasir_anatomical-landmarks,classification,6,4104,gastroscopy_colonoscopy,112.11111111111111,hyperkvasir,"['anatomical structures', 'gastroscopy_colonoscopy', 'medical']",11,1455571,200096
41,hyperkvasir_pathological-findings,classification,12,2642,gastroscopy_colonoscopy,171.33333333333334,hyperkvasir,"['gastroscopy_colonoscopy', 'medical', 'tissue_pathology']",9,2071680,116864
42,hyperkvasir_quality-of-mucosal-views,classification,3,1925,gastroscopy_colonoscopy,8.763358778625955,hyperkvasir,"['gastroscopy_colonoscopy', 'medical']",4,1444779,184008
